x	f(x)
6	0
6.1	0.00208333
6.2	0.00416667
6.3	0.00625
6.4	0.00833333
6.5	0.0104167
6.6	0.0125
6.7	0.0145833
6.8	0.0166667
6.9	0.01875
7	0.0208333
7.1	0.0229167
7.2	0.025
7.3	0.0270833
7.4	0.0291667
7.5	0.03125
7.6	0.0333333
7.7	0.0354167
7.8	0.0375
7.9	0.0395833
8	0.0416667
8.1	0.04375
8.2	0.0458333
8.3	0.0479167
8.4	0.05
8.5	0.0520833
8.6	0.0541667
8.7	0.05625
8.8	0.0583333
8.9	0.0604167
9	0.0625
9.1	0.0645833
9.2	0.0666667
9.3	0.06875
9.4	0.0708333
9.5	0.0729167
9.6	0.075
9.7	0.0770833
9.8	0.0791667
9.9	0.08125
10	0.0833333
10.1	0.0854167
10.2	0.0875
10.3	0.0895833
10.4	0.0916667
10.5	0.09375
10.6	0.0958333
10.7	0.0979167
10.8	0.1
10.9	0.102083
11	0.104167
11.1	0.10625
11.2	0.108333
11.3	0.110417
11.4	0.1125
11.5	0.114583
11.6	0.116667
11.7	0.11875
11.8	0.120833
11.9	0.122917
12	0.125
12.1	0.127083
12.2	0.129167
12.3	0.13125
12.4	0.133333
12.5	0.135417
12.6	0.1375
12.7	0.139583
12.8	0.141667
12.9	0.14375
13	0.145833
13.1	0.147917
13.2	0.15
13.3	0.152083
13.4	0.154167
13.5	0.15625
13.6	0.158333
13.7	0.160417
13.8	0.1625
13.9	0.164583
14	0.166667
14.1	0.1625
14.2	0.158333
14.3	0.154167
14.4	0.15
14.5	0.145833
14.6	0.141667
14.7	0.1375
14.8	0.133333
14.9	0.129167
15	0.125
15.1	0.120833
15.2	0.116667
15.3	0.1125
15.4	0.108333
15.5	0.104167
15.6	0.1
15.7	0.0958333
15.8	0.0916667
15.9	0.0875
16	0.0833333
16.1	0.0791667
16.2	0.075
16.3	0.0708333
16.4	0.0666667
16.5	0.0625
16.6	0.0583333
16.7	0.0541667
16.8	0.05
16.9	0.0458333
17	0.0416667
17.1	0.0375
17.2	0.0333333
17.3	0.0291667
17.4	0.025
17.5	0.0208333
17.6	0.0166667
17.7	0.0125
17.8	0.00833333
17.9	0.00416667
18	2.96059e-16
