canal,cuentas
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,17
58,175
59,325
60,420
61,362
62,322
63,332
64,334
65,319
66,308
67,305
68,319
69,323
70,326
71,349
72,359
73,333
74,340
75,320
76,331
77,307
78,314
79,330
80,324
81,331
82,331
83,340
84,335
85,356
86,349
87,314
88,355
89,329
90,338
91,337
92,315
93,333
94,310
95,339
96,346
97,364
98,307
99,338
100,339
101,345
102,334
103,308
104,323
105,360
106,360
107,363
108,349
109,303
110,349
111,341
112,357
113,380
114,334
115,375
116,345
117,308
118,348
119,340
120,337
121,365
122,352
123,368
124,332
125,353
126,343
127,323
128,359
129,316
130,361
131,359
132,344
133,312
134,357
135,347
136,322
137,350
138,338
139,336
140,364
141,350
142,334
143,349
144,337
145,362
146,348
147,362
148,363
149,330
150,319
151,358
152,323
153,405
154,351
155,364
156,354
157,331
158,308
159,338
160,331
161,341
162,376
163,335
164,347
165,359
166,306
167,348
168,330
169,310
170,310
171,340
172,365
173,353
174,343
175,347
176,359
177,365
178,348
179,334
180,339
181,325
182,349
183,336
184,392
185,339
186,341
187,334
188,347
189,327
190,331
191,337
192,351
193,351
194,374
195,333
196,344
197,339
198,340
199,346
200,336
201,346
202,354
203,338
204,353
205,312
206,393
207,398
208,334
209,327
210,388
211,374
212,318
213,336
214,362
215,345
216,337
217,343
218,349
219,331
220,324
221,320
222,335
223,308
224,362
225,360
226,344
227,357
228,360
229,370
230,328
231,384
232,332
233,341
234,347
235,348
236,360
237,354
238,356
239,349
240,359
241,355
242,372
243,346
244,368
245,371
246,365
247,352
248,339
249,346
250,342
251,341
252,329
253,353
254,365
255,358
256,388
257,336
258,326
259,375
260,367
261,333
262,367
263,329
264,399
265,359
266,349
267,323
268,336
269,343
270,346
271,339
272,327
273,372
274,355
275,354
276,362
277,329
278,355
279,364
