canal,cuentas
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,31
58,260
59,490
60,554
61,521
62,541
63,539
64,487
65,541
66,517
67,514
68,477
69,493
70,486
71,501
72,502
73,522
74,511
75,526
76,511
77,516
78,555
79,573
80,509
81,497
82,514
83,552
84,535
85,525
86,510
87,521
88,558
89,539
90,525
91,533
92,552
93,536
94,498
95,532
96,474
97,529
98,561
99,545
100,531
101,525
102,531
103,474
104,529
105,520
106,498
107,549
108,541
109,569
110,525
111,521
112,489
113,515
114,571
115,511
116,566
117,541
118,491
119,500
120,505
121,569
122,564
123,551
124,530
125,538
126,544
127,520
128,571
129,554
130,545
131,568
132,511
133,571
134,546
135,565
136,562
137,516
138,553
139,499
140,546
141,521
142,549
143,553
144,569
145,549
146,556
147,535
148,541
149,488
150,522
151,553
152,528
153,537
154,529
155,497
156,489
157,550
158,537
159,531
160,507
161,532
162,545
163,540
164,516
165,529
166,499
167,520
168,514
169,518
170,528
171,560
172,535
173,526
174,517
175,522
176,501
177,539
178,504
179,514
180,513
181,573
182,549
183,527
184,573
185,533
186,493
187,550
188,561
189,565
190,535
191,504
192,511
193,537
194,535
195,500
196,532
197,541
198,509
199,510
200,457
201,527
202,538
203,539
204,547
205,558
206,530
207,546
208,540
209,532
210,533
211,460
212,552
213,517
214,527
215,565
216,572
217,546
218,540
219,470
220,504
221,536
222,549
223,520
224,494
225,510
226,564
227,539
228,511
229,531
230,495
231,517
232,546
233,494
234,537
235,533
236,514
237,532
238,452
239,493
240,491
241,542
242,524
243,499
244,513
245,522
246,516
247,512
248,501
249,517
250,541
251,502
252,525
253,475
254,515
255,536
256,568
257,501
258,478
259,527
260,508
261,510
262,513
263,541
264,516
265,508
266,541
267,555
268,520
269,511
270,524
271,459
272,539
273,545
274,534
275,514
276,536
277,511
278,503
279,530
