canal,I_gamma
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,24761
44,25504
45,25036
46,24412
47,24262
48,23655
49,23404
50,23041
51,22619
52,22452
53,21677
54,21839
55,21265
56,20967
57,20819
58,20567
59,20740
60,20069
61,19992
62,19978
63,19251
64,19594
65,19037
66,18849
67,19046
68,18715
69,18557
70,18345
71,18335
72,18272
73,17708
74,17889
75,17651
76,17724
77,17517
78,17201
79,17420
80,16846
81,17129
82,16998
83,16752
84,16828
85,16759
86,16713
87,16773
88,16360
89,16410
90,16493
91,16391
92,16416
93,16430
94,16633
95,16807
96,16654
97,16834
98,16755
99,16339
100,16784
101,16509
102,16460
103,16473
104,16730
105,16585
106,16622
107,16665
108,16536
109,16937
110,17119
111,17023
112,17322
113,17349
114,17186
115,17204
116,17268
117,17321
118,17509
119,17581
120,17758
121,17922
122,18417
123,18303
124,18806
125,19395
126,19706
127,20215
128,20958
129,22011
130,23036
131,23636
132,24908
133,25403
134,25400
135,25347
136,24571
137,24225
138,23914
139,23881
140,23863
141,23628
142,23578
143,23492
144,23690
145,23695
146,24020
147,24212
148,24736
149,24818
150,25870
151,27120
152,28838
153,31213
154,34361
155,37950
156,40969
157,44581
158,48271
159,51011
160,53537
161,54421
162,53827
163,51657
164,48382
165,44825
166,40545
167,37398
168,34600
169,32050
170,30051
171,29149
172,27973
173,27448
174,27306
175,27452
176,27414
177,27741
178,28258
179,29090
180,30178
181,30924
182,32291
183,32513
184,32685
185,32074
186,31512
187,31509
188,31372
189,31888
190,32877
191,34657
192,35941
193,37164
194,36797
195,36411
196,34792
197,32212
198,30119
199,27919
200,25714
201,24351
202,23020
203,21996
204,20990
205,20488
206,19853
207,19049
208,18931
209,18404
210,18406
211,17613
212,17875
213,17400
214,17507
215,17409
216,17210
217,17112
218,17110
219,17312
220,17207
221,17582
222,17563
223,17617
224,17910
225,17993
226,18151
227,18172
228,18564
229,18616
230,18818
231,18667
232,19088
233,19252
234,19198
235,19506
236,19537
237,19312
238,19231
239,19207
240,18716
241,18765
242,18499
243,18355
244,18136
245,18054
246,18073
247,17804
248,18019
249,18044
250,18050
251,18174
252,17923
253,17941
254,18102
255,18309
256,18187
257,18337
258,18264
259,17979
260,18035
261,18322
262,18344
263,18031
264,18413
265,18077
266,18360
267,18351
268,18504
269,18435
270,18078
271,18489
272,18381
273,18401
274,18521
275,18577
276,18415
277,18319
278,18515
279,18562
280,18723
281,18854
282,18717
283,18654
284,18626
285,18687
286,18835
287,18952
288,19075
289,19566
290,19488
291,19647
292,19693
293,20058
294,20279
295,20369
296,20838
297,21152
298,21818
299,22410
300,22315
301,22310
302,22257
303,21673
304,21432
305,21010
306,21116
307,20353
308,20231
309,20339
310,20203
311,20264
312,20154
313,20277
314,20168
315,20494
316,20643
317,20659
318,20771
319,20887
320,21009
321,21037
322,21196
323,20871
324,20894
325,21012
326,20653
327,20556
328,20219
329,20077
330,19858
331,19709
332,19693
333,19426
334,19268
335,19132
336,19052
337,19032
338,19312
339,19328
340,18853
341,19054
342,18995
343,18793
344,18723
345,18271
346,18107
347,17955
348,17924
349,17919
350,17615
351,17573
352,17328
353,17363
354,17300
355,17235
356,17160
357,16916
358,17061
359,17294
360,17285
361,16964
362,17020
363,16834
364,16951
365,17101
366,16933
367,16993
368,16924
369,16752
370,16742
371,17042
372,16874
373,16794
374,17067
375,17051
376,17158
377,17247
378,17331
379,17926
380,18571
381,19717
382,21526
383,23772
384,27332
385,31862
386,35652
387,39062
388,40097
389,39412
390,37507
391,34309
392,30921
393,28223
394,25537
395,23259
396,21222
397,19869
398,18475
399,17569
400,16804
401,16381
402,16327
403,15986
404,16017
405,16111
406,15676
407,15928
408,16182
409,16001
410,15989
411,15647
412,15941
413,15963
414,15588
415,15583
416,15402
417,15436
418,15259
419,15309
420,15133
421,15162
422,15150
423,15172
424,15127
425,14964
426,15231
427,15123
428,15154
429,14904
430,14602
431,14487
432,14418
433,13949
