canal,I_gamma
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,3218
44,3430
45,3216
46,3359
47,3277
48,3148
49,3121
50,3175
51,3085
52,2890
53,2843
54,2821
55,2753
56,2616
57,2730
58,2589
59,2584
60,2530
61,2423
62,2449
63,2474
64,2396
65,2332
66,2379
67,2385
68,2258
69,2234
70,2271
71,2161
72,2192
73,2158
74,2164
75,2108
76,2171
77,2138
78,2193
79,2143
80,2012
81,2023
82,2052
83,2032
84,1929
85,1967
86,1985
87,1945
88,1997
89,1931
90,1933
91,1859
92,1897
93,1905
94,1995
95,1991
96,1828
97,1891
98,1887
99,1907
100,1864
101,1873
102,1919
103,1864
104,1891
105,1953
106,1837
107,1957
108,2047
109,2118
110,2147
111,2244
112,2328
113,2236
114,2228
115,2196
116,2134
117,2165
118,2169
119,2139
120,2076
121,2058
122,2073
123,2220
124,2156
125,2131
126,2275
127,2265
128,2240
129,2288
130,2400
131,2460
132,2413
133,2472
134,2478
135,2448
136,2566
137,2567
138,2577
139,2598
140,2605
141,2583
142,2459
143,2561
144,2537
145,2485
146,2571
147,2478
148,2528
149,2538
150,2575
151,2608
152,2522
153,2636
154,2567
155,2604
156,2615
157,2644
158,2642
159,2502
160,2567
161,2507
162,2621
163,2568
164,2661
165,2645
166,2641
167,2657
168,2543
169,2526
170,2626
171,2672
172,2570
173,2648
174,2623
175,2658
176,2582
177,2631
178,2618
179,2615
180,2696
181,2791
182,2822
183,2784
184,2762
185,2704
186,2724
187,2632
188,2784
189,2742
190,2768
191,2834
192,2855
193,2989
194,2899
195,2941
196,2909
197,2820
198,2768
199,2686
200,2737
201,2731
202,2752
203,2760
204,2713
205,2747
206,2766
207,2797
208,2780
209,2662
210,2723
211,2670
212,2672
213,2695
214,2663
215,2677
216,2633
217,2647
218,2685
219,2713
220,2697
221,2618
222,2695
223,2662
224,2555
225,2746
226,2679
227,2686
228,2668
229,2637
230,2610
231,2574
232,2638
233,2694
234,2609
235,2660
236,2715
237,2609
238,2566
239,2520
240,2568
241,2555
242,2620
243,2616
244,2536
245,2625
246,2605
247,2548
248,2552
249,2593
250,2568
251,2554
252,2556
253,2411
254,2667
255,2563
256,2479
257,2562
258,2425
259,2523
260,2513
261,2485
262,2481
263,2536
264,2448
265,2539
266,2513
267,2573
268,2500
269,2564
270,2446
271,2544
272,2496
273,2483
274,2455
275,2405
276,2446
277,2520
278,2512
279,2413
280,2396
281,2449
282,2371
283,2474
284,2446
285,2428
286,2440
287,2406
288,2466
289,2550
290,2733
291,2829
292,2828
293,2703
294,2681
295,2563
296,2481
297,2409
298,2364
299,2404
300,2412
301,2340
302,2306
303,2240
304,2295
305,2265
306,2289
307,2242
308,2274
309,2213
310,2323
311,2219
312,2294
313,2185
314,2256
315,2218
316,2221
317,2160
318,2196
319,2190
320,2172
321,2184
322,2108
323,2143
324,2172
325,2119
326,2227
327,2195
328,2246
329,2225
330,2268
331,2356
332,2346
333,2275
334,2317
335,2234
336,2172
337,2130
338,2070
339,2079
340,2090
341,2043
342,2092
343,2069
344,2043
345,2029
346,2026
347,2014
348,2027
349,1976
350,1951
351,1982
352,1966
353,1986
354,1917
355,1999
356,1979
357,1989
358,1898
359,1927
360,1949
361,1986
362,2004
363,2016
364,2034
365,2054
366,2122
367,1965
368,1977
369,1905
370,1925
371,2009
372,1967
373,1859
374,1929
375,1934
376,1805
377,1802
378,1896
379,1833
380,1868
381,1922
382,1902
383,1873
384,1905
385,2001
386,2123
387,2060
388,2136
389,2047
390,2030
391,1831
392,1832
393,1787
394,1821
395,1811
396,1821
397,1771
398,1839
399,1691
400,1731
401,1789
402,1849
403,1726
404,1728
405,1779
406,1735
407,1730
408,1776
409,1843
410,1917
411,2059
412,2064
413,2155
414,2236
415,2055
416,1954
417,1897
418,1799
419,1782
420,1696
421,1779
422,1712
423,1708
424,1747
425,1710
426,1677
427,1670
428,1739
429,1749
430,1678
431,1675
432,1697
433,1642
