canal,I_gamma
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1222
44,1239
45,1277
46,1221
47,1108
48,1063
49,1125
50,1214
51,1201
52,1122
53,1017
54,1019
55,979
56,961
57,877
58,884
59,827
60,862
61,781
62,819
63,751
64,746
65,712
66,714
67,751
68,706
69,686
70,654
71,654
72,668
73,628
74,628
75,622
76,560
77,631
78,577
79,577
80,540
81,557
82,555
83,577
84,569
85,522
86,534
87,544
88,527
89,514
90,500
91,521
92,526
93,495
94,518
95,553
96,540
97,508
98,510
99,503
100,472
101,459
102,500
103,525
104,445
105,449
106,453
107,475
108,508
109,512
110,621
111,702
112,750
113,884
114,815
115,771
116,636
117,663
118,561
119,582
120,541
121,556
122,563
123,529
124,573
125,607
126,576
127,582
128,577
129,616
130,651
131,649
132,660
133,728
134,731
135,679
136,697
137,755
138,768
139,829
140,759
141,700
142,767
143,688
144,645
145,653
146,597
147,599
148,564
149,572
150,603
151,601
152,542
153,562
154,583
155,589
156,606
157,577
158,579
159,567
160,588
161,621
162,539
163,541
164,520
165,566
166,545
167,593
168,550
169,554
170,551
171,579
172,587
173,555
174,586
175,544
176,562
177,550
178,588
179,583
180,576
181,574
182,569
183,592
184,594
185,592
186,595
187,612
188,604
189,584
190,601
191,682
192,681
193,812
194,783
195,772
196,749
197,743
198,674
199,642
200,619
201,591
202,586
203,574
204,570
205,580
206,586
207,593
208,613
209,575
210,618
211,572
212,600
213,602
214,595
215,608
216,620
217,601
218,617
219,571
220,595
221,582
222,632
223,623
224,607
225,625
226,584
227,617
228,662
229,644
230,701
231,608
232,633
233,625
234,628
235,660
236,642
237,656
238,654
239,610
240,640
241,639
242,636
243,610
244,642
245,574
246,599
247,628
248,610
249,601
250,671
251,623
252,639
253,645
254,642
255,605
256,648
257,627
258,631
259,630
260,598
261,652
262,662
263,604
264,658
265,610
266,653
267,631
268,622
269,653
270,642
271,643
272,614
273,590
274,624
275,637
276,640
277,634
278,669
279,629
280,668
281,610
282,604
283,607
284,663
285,668
286,611
287,635
288,662
289,762
290,814
291,1012
292,1114
293,1040
294,930
295,885
296,876
297,739
298,727
299,697
300,697
301,669
302,640
303,662
304,610
305,630
306,631
307,594
308,612
309,627
310,619
311,626
312,586
313,587
314,592
315,607
316,633
317,613
318,578
319,564
320,589
321,563
322,598
323,576
324,601
325,618
326,580
327,591
328,578
329,636
330,689
331,742
332,783
333,827
334,798
335,765
336,742
337,647
338,611
339,643
340,600
341,616
342,551
343,589
344,584
345,576
346,570
347,557
348,549
349,568
350,572
351,573
352,557
353,563
354,596
355,565
356,549
357,551
358,548
359,521
360,582
361,537
362,557
363,603
364,670
365,728
366,659
367,639
368,622
369,593
370,618
371,555
372,538
373,537
374,511
375,509
376,577
377,541
378,535
379,568
380,519
381,548
382,526
383,582
384,589
385,624
386,715
387,784
388,822
389,697
390,726
391,628
392,631
393,552
394,512
395,534
396,542
397,536
398,492
399,483
400,499
401,509
402,486
403,484
404,495
405,489
406,469
407,504
408,504
409,526
410,605
411,663
412,792
413,887
414,940
415,954
416,859
417,719
418,593
419,543
420,519
421,513
422,552
423,551
424,529
425,509
426,584
427,540
428,500
429,495
430,505
431,450
432,514
433,471
434,504
435,483
436,452
437,463
438,466
439,477
440,475
441,533
442,482
443,468
444,417
445,420
446,493
447,440
448,461
449,443
450,420
451,475
452,436
453,456
454,479
455,452
456,425
457,430
458,425
459,423
460,425
461,428
462,402
463,439
464,423
465,423
466,412
467,462
468,418
469,417
470,416
471,410
472,442
473,460
474,411
475,437
476,437
477,435
478,378
479,421
480,395
481,403
482,422
483,420
484,432
485,428
486,397
487,395
488,449
489,424
490,386
491,383
492,396
493,409
494,398
495,481
496,464
497,482
498,475
499,495
500,488
501,488
502,433
503,415
504,406
505,388
506,409
507,396
508,388
509,412
510,409
511,402
512,399
513,367
514,380
515,407
516,380
517,400
518,350
519,411
520,353
521,408
522,382
523,380
524,409
525,429
526,426
527,476
