canal,cuentas
1,0
2,769
3,2472
4,1718
5,1787
6,1756
7,1896
8,1970
9,1877
10,1915
11,1937
12,2020
13,2070
14,2089
15,1992
16,2030
17,2102
18,2201
19,2098
20,2169
21,2254
22,2314
23,2304
24,2462
25,2379
26,2481
27,2545
28,2667
29,2606
30,2823
31,2913
32,2873
33,3114
34,3035
35,3126
36,3195
37,3175
38,3223
39,3256
40,3403
41,3329
42,3353
43,3364
44,3281
45,3366
46,3357
47,3409
48,3349
49,3264
50,3238
51,3235
52,3211
53,3286
54,3251
55,3257
56,3200
57,3109
58,3236
59,3107
60,3123
61,3072
62,2966
63,3095
64,3106
65,3067
66,3014
67,3002
68,2906
69,2969
70,2996
71,2971
72,2890
73,2935
74,2876
75,2850
76,2898
77,2841
78,2745
79,2808
80,2727
81,2676
82,2792
83,2780
84,2756
85,2800
86,2815
87,2906
88,2934
89,2925
90,3088
91,2978
92,3171
93,3039
94,3007
95,3030
96,3042
97,3054
98,3063
99,3062
100,3041
101,3055
102,2853
103,2886
104,2959
105,2967
106,2843
107,2866
108,2841
109,2917
110,2767
111,2786
112,2825
113,2862
114,2870
115,2827
116,2855
117,2794
118,2721
119,2821
120,2765
121,2712
122,2667
123,2743
124,2770
125,2744
126,2697
127,2670
128,2519
129,2579
130,2653
131,2616
132,2539
133,2567
134,2567
135,2546
136,2621
137,2499
138,2590
139,2471
140,2528
141,2498
142,2563
143,2511
144,2564
145,2481
146,2546
147,2696
148,2483
149,2594
150,2658
151,2555
152,2490
153,2478
154,2442
155,2496
156,2479
157,2526
158,2454
159,2408
160,2367
161,2327
162,2322
163,2256
164,2169
165,2093
166,2034
167,1954
168,1862
169,1779
170,1689
171,1686
172,1593
173,1563
174,1507
175,1489
176,1401
177,1351
178,1332
179,1275
180,1201
181,1164
182,1227
183,1123
184,1086
185,1103
186,1109
187,1054
188,1073
189,1018
190,1025
191,1002
192,971
193,950
194,952
195,934
196,900
197,914
198,907
199,870
200,886
201,886
202,904
203,822
204,826
205,856
206,870
207,835
208,757
209,813
210,781
211,814
212,835
213,827
214,830
215,790
216,827
217,800
218,795
219,814
220,771
221,823
222,806
223,875
224,851
225,817
226,785
227,792
228,841
229,789
230,807
231,852
232,873
233,883
234,955
235,1093
236,1177
237,1356
238,1571
239,1764
240,2078
241,2563
242,2934
243,3664
244,4207
245,4886
246,5778
247,6555
248,7659
249,8641
250,9761
251,10850
252,12090
253,13174
254,14367
255,15466
256,16386
257,17632
258,18497
259,18768
260,19235
261,19465
262,19436
263,19304
264,18974
265,18303
266,17534
267,16526
268,15545
269,14433
270,13158
271,12240
272,11018
273,9680
274,8830
275,7671
276,6888
277,5826
278,5189
279,4365
280,3895
281,3354
282,2906
283,2438
284,2112
285,1943
286,1687
287,1525
288,1310
289,1136
290,1002
291,990
292,887
293,870
294,792
295,782
296,762
297,757
298,707
299,717
300,709
301,665
302,689
303,715
304,654
305,673
306,681
307,648
308,628
309,585
310,673
311,655
312,609
313,617
314,641
315,610
316,652
317,640
318,643
319,660
320,628
321,615
322,601
323,597
324,591
325,629
326,580
327,602
328,635
329,585
330,558
331,592
332,574
333,610
334,597
335,610
336,569
337,534
338,594
339,585
340,603
341,587
342,621
343,603
344,592
345,603
346,645
347,604
348,624
349,631
350,645
351,584
352,612
353,619
354,626
355,583
356,664
357,642
358,664
359,668
360,638
361,696
362,645
363,638
364,629
365,650
366,646
367,644
368,606
369,673
370,646
371,670
372,698
373,667
374,632
375,628
376,628
377,659
378,611
379,679
380,653
381,668
382,669
383,641
384,623
385,652
386,653
387,671
388,679
389,658
390,638
391,661
392,665
393,627
394,630
395,628
396,639
397,664
398,632
399,666
400,618
401,616
402,661
403,624
404,640
405,676
406,618
407,639
408,614
409,606
410,605
411,612
412,599
413,627
414,609
415,601
416,630
417,638
418,627
419,608
420,628
421,588
422,612
423,594
424,586
425,641
426,584
427,642
428,627
429,579
430,634
431,625
432,558
433,590
434,601
435,605
436,596
437,623
438,562
439,605
440,585
441,588
442,594
443,574
444,586
445,583
446,584
447,567
448,602
449,605
450,584
451,592
452,635
453,590
454,603
455,599
456,602
457,651
458,600
459,624
460,599
461,632
462,639
463,614
464,595
465,602
466,619
467,633
468,630
469,615
470,655
471,622
472,644
473,656
474,646
475,620
476,586
477,605
478,644
479,601
480,684
481,616
482,580
483,630
484,622
485,612
486,656
487,644
488,601
489,665
490,663
491,618
492,636
493,654
494,635
495,617
496,642
497,632
498,619
499,639
500,613
501,586
502,671
503,632
504,635
505,618
506,617
507,637
508,602
509,636
510,618
511,596
512,600
513,600
514,598
515,599
516,549
517,646
518,538
519,553
520,572
521,561
522,577
523,529
524,524
525,548
526,507
527,470
528,476
529,516
530,477
531,471
532,474
533,464
534,495
535,480
536,466
537,457
538,500
539,425
540,440
541,456
542,437
543,417
544,399
545,417
546,429
547,386
548,414
549,419
550,417
551,367
552,374
553,381
554,380
555,374
556,357
557,419
558,367
559,399
560,344
561,374
562,344
563,374
564,386
565,366
566,354
567,322
568,320
569,360
570,326
571,349
572,344
573,340
574,361
575,325
576,327
577,313
578,312
579,324
580,325
581,330
582,289
583,319
584,297
585,292
586,329
587,339
588,293
589,293
590,301
591,320
592,311
593,361
594,306
595,305
596,302
597,308
598,291
599,317
600,292
601,317
602,298
603,311
604,313
605,352
606,360
607,348
608,342
609,360
610,380
611,368
612,424
613,403
614,463
615,473
616,503
617,526
618,560
619,590
620,661
621,687
622,741
623,680
624,744
625,840
626,826
627,885
628,964
629,1046
630,1118
631,1163
632,1249
633,1260
634,1358
635,1448
636,1464
637,1542
638,1652
639,1713
640,1689
641,1734
642,1795
643,1796
644,1873
645,1838
646,1902
647,1917
648,1917
649,1948
650,1925
651,1899
652,1919
653,1914
654,1818
655,1874
656,1768
657,1863
658,1781
659,1761
660,1635
661,1648
662,1521
663,1519
664,1452
665,1444
666,1402
667,1314
668,1235
669,1255
670,1188
671,1128
672,1011
673,1040
674,989
675,945
676,967
677,869
678,810
679,809
680,770
681,706
682,706
683,652
684,618
685,607
686,613
687,568
688,597
689,573
690,568
691,507
692,501
693,515
694,530
695,498
696,475
697,445
698,442
699,451
700,421
701,418
702,450
703,456
704,430
705,372
706,405
707,391
708,413
709,432
710,405
711,405
712,382
713,365
714,377
715,393
716,389
717,366
718,374
719,377
720,402
721,391
722,410
723,414
724,388
725,380
726,375
727,358
728,388
729,379
730,410
731,431
732,382
733,406
734,399
735,355
736,406
737,387
738,417
739,401
740,414
741,408
742,390
743,393
744,401
745,377
746,391
747,393
748,456
749,401
750,409
751,401
752,414
753,398
754,392
755,396
756,416
757,395
758,429
759,402
760,414
761,399
762,411
763,417
764,427
765,422
766,429
767,403
768,451
769,456
770,434
771,402
772,445
773,426
774,400
775,380
776,403
777,406
778,438
779,430
780,402
781,393
782,431
783,395
784,402
785,409
786,379
787,374
788,382
789,408
790,365
791,397
792,392
793,419
794,357
795,396
796,378
797,356
798,352
799,354
800,340
801,361
802,321
803,375
804,319
805,306
806,335
807,310
808,322
809,340
810,318
811,298
812,305
813,291
814,301
815,269
816,246
817,287
818,302
819,271
820,258
821,251
822,264
823,273
824,252
825,215
826,230
827,216
828,229
829,197
830,226
831,219
832,199
833,228
834,180
835,201
836,195
837,149
838,169
839,187
840,158
841,149
842,164
843,164
844,132
845,163
846,134
847,143
848,145
849,142
850,125
851,115
852,119
853,127
854,146
855,119
856,101
857,111
858,100
859,93
860,117
861,105
862,93
863,104
864,91
865,104
866,88
867,87
868,98
869,84
870,91
871,81
872,94
873,86
874,79
875,96
876,89
877,103
878,85
879,96
880,102
881,103
882,104
883,127
884,98
885,118
886,132
887,159
888,149
889,144
890,154
891,183
892,159
893,200
894,211
895,228
896,262
897,263
898,269
899,303
900,330
901,369
902,356
903,417
904,406
905,453
906,463
907,519
908,519
909,551
910,578
911,617
912,670
913,642
914,706
915,669
916,755
917,813
918,752
919,758
920,804
921,824
922,889
923,887
924,885
925,868
926,890
927,933
928,907
929,886
930,874
931,861
932,901
933,945
934,845
935,843
936,879
937,916
938,805
939,815
940,801
941,761
942,812
943,752
944,739
945,686
946,653
947,711
948,640
949,617
950,638
951,557
952,534
953,527
954,490
955,500
956,452
957,458
958,397
959,407
960,359
961,363
962,322
963,293
964,266
965,259
966,254
967,247
968,218
969,234
970,216
971,196
972,180
973,174
974,164
975,156
976,143
977,145
978,131
979,102
980,124
981,105
982,96
983,100
984,79
985,69
986,86
987,74
988,70
989,60
990,57
991,64
992,40
993,46
994,48
995,37
996,42
997,41
998,27
999,42
1000,40
1001,31
1002,38
1003,30
1004,33
1005,18
1006,23
1007,24
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
