# E_lab [MeV]	delta_real [deg]	delta_imag [deg]	cross_section [mb]	S_factor [MeV*mb]
0.1667	0.8290	0.0034	130.7354	0.4028
0.1833	0.9810	0.0041	141.0880	0.4077
0.2000	1.1375	0.0047	150.3998	0.4125
0.2167	1.2974	0.0054	158.7870	0.4173
0.2333	1.4598	0.0061	166.3542	0.4220
0.2500	1.6243	0.0068	173.1937	0.4267
0.2667	1.7903	0.0075	179.3865	0.4313
0.2833	1.9573	0.0082	185.0034	0.4359
0.3000	2.1250	0.0090	190.1060	0.4404
0.3167	2.2931	0.0097	194.7482	0.4449
0.3333	2.4614	0.0104	198.9771	0.4493
0.3500	2.6297	0.0112	202.8341	0.4536
0.3667	2.7978	0.0119	206.3553	0.4578
0.3833	2.9656	0.0126	209.5727	0.4620
0.4000	3.1330	0.0134	212.5145	0.4662
0.4167	3.2998	0.0141	215.2058	0.4702
0.4333	3.4661	0.0148	217.6686	0.4743
0.4500	3.6316	0.0156	219.9228	0.4782
0.4667	3.7965	0.0163	221.9861	0.4821
0.4833	3.9605	0.0170	223.8742	0.4860
0.5000	4.1238	0.0177	225.6013	0.4897
0.5167	4.2862	0.0184	227.1802	0.4935
0.5333	4.4477	0.0192	228.6225	0.4971
0.5500	4.6084	0.0199	229.9386	0.5008
0.5667	4.7681	0.0206	231.1378	0.5043
0.5833	4.9270	0.0213	232.2288	0.5078
0.6000	5.0849	0.0220	233.2194	0.5113
0.6167	5.2418	0.0227	234.1166	0.5147
0.6333	5.3978	0.0234	234.9270	0.5181
0.6500	5.5529	0.0241	235.6566	0.5214
0.6667	5.7070	0.0248	236.3107	0.5247
0.6833	5.8601	0.0254	236.8944	0.5279
0.7000	6.0123	0.0261	237.4123	0.5311
0.7167	6.1636	0.0268	237.8686	0.5342
0.7333	6.3139	0.0275	238.2672	0.5373
0.7500	6.4633	0.0281	238.6118	0.5404
0.7667	6.6117	0.0288	238.9056	0.5434
0.7833	6.7592	0.0295	239.1519	0.5463
0.8000	6.9057	0.0301	239.3533	0.5493
0.8167	7.0513	0.0308	239.5127	0.5521
0.8333	7.1961	0.0314	239.6325	0.5550
0.8500	7.3399	0.0320	239.7150	0.5578
0.8667	7.4828	0.0327	239.7623	0.5606
0.8833	7.6248	0.0333	239.7765	0.5633
0.9000	7.7659	0.0339	239.7595	0.5660
0.9167	7.9061	0.0346	239.7129	0.5686
0.9333	8.0455	0.0352	239.6385	0.5713
0.9500	8.1840	0.0358	239.5377	0.5738
0.9667	8.3216	0.0364	239.4120	0.5764
0.9833	8.4583	0.0370	239.2628	0.5789
1.0000	8.5943	0.0376	239.0913	0.5814
1.0167	8.7294	0.0382	238.8988	0.5838
1.0333	8.8636	0.0388	238.6862	0.5863
1.0500	8.9970	0.0394	238.4548	0.5886
1.0667	9.1297	0.0400	238.2055	0.5910
1.0833	9.2615	0.0405	237.9392	0.5933
1.1000	9.3925	0.0411	237.6568	0.5956
1.1167	9.5227	0.0417	237.3591	0.5979
1.1333	9.6521	0.0423	237.0470	0.6001
1.1500	9.7808	0.0428	236.7212	0.6023
1.1667	9.9087	0.0434	236.3824	0.6045
1.1833	10.0358	0.0439	236.0313	0.6066
1.2000	10.1621	0.0445	235.6685	0.6087
1.2167	10.2877	0.0450	235.2945	0.6108
1.2333	10.4126	0.0456	234.9101	0.6129
1.2500	10.5367	0.0461	234.5156	0.6149
1.2667	10.6601	0.0467	234.1117	0.6169
1.2833	10.7828	0.0472	233.6988	0.6189
1.3000	10.9048	0.0477	233.2774	0.6209
1.3167	11.0260	0.0482	232.8478	0.6228
1.3333	11.1466	0.0488	232.4107	0.6247
1.3500	11.2664	0.0493	231.9662	0.6266
1.3667	11.3856	0.0498	231.5149	0.6284
1.3833	11.5041	0.0503	231.0570	0.6303
1.4000	11.6219	0.0508	230.5930	0.6321
1.4167	11.7390	0.0513	230.1231	0.6339
1.4333	11.8555	0.0518	229.6476	0.6356
1.4500	11.9713	0.0523	229.1670	0.6374
1.4667	12.0865	0.0528	228.6813	0.6391
1.4833	12.2010	0.0533	228.1910	0.6408
1.5000	12.3148	0.0537	227.6963	0.6424
1.5167	12.4281	0.0542	227.1974	0.6441
1.5333	12.5407	0.0547	226.6945	0.6457
1.5500	12.6527	0.0552	226.1879	0.6473
1.5667	12.7640	0.0556	225.6779	0.6489
1.5833	12.8748	0.0561	225.1646	0.6505
1.6000	12.9849	0.0566	224.6481	0.6520
1.6167	13.0945	0.0570	224.1288	0.6535
1.6333	13.2034	0.0575	223.6068	0.6550
1.6500	13.3117	0.0579	223.0822	0.6565
1.6667	13.4195	0.0584	222.5552	0.6580
1.6833	13.5267	0.0588	222.0261	0.6594
1.7000	13.6333	0.0593	221.4948	0.6608
1.7167	13.7393	0.0597	220.9617	0.6622
1.7333	13.8448	0.0601	220.4268	0.6636
1.7500	13.9497	0.0606	219.8902	0.6650
1.7667	14.0540	0.0610	219.3521	0.6663
1.7833	14.1578	0.0614	218.8127	0.6677
1.8000	14.2610	0.0618	218.2720	0.6690
1.8167	14.3637	0.0623	217.7301	0.6703
1.8333	14.4658	0.0627	217.1872	0.6716
1.8500	14.5675	0.0631	216.6434	0.6728
1.8667	14.6685	0.0635	216.0987	0.6741
1.8833	14.7691	0.0639	215.5533	0.6753
1.9000	14.8691	0.0643	215.0072	0.6765
1.9167	14.9686	0.0647	214.4606	0.6777
1.9333	15.0676	0.0651	213.9135	0.6789
1.9500	15.1661	0.0655	213.3661	0.6800
1.9667	15.2641	0.0659	212.8183	0.6812
1.9833	15.3616	0.0663	212.2703	0.6823
2.0000	15.4586	0.0667	211.7222	0.6834
2.0167	15.5550	0.0670	211.1739	0.6845
2.0333	15.6510	0.0674	210.6257	0.6856
2.0500	15.7466	0.0678	210.0775	0.6867
2.0667	15.8416	0.0682	209.5294	0.6877
2.0833	15.9361	0.0685	208.9815	0.6888
2.1000	16.0302	0.0689	208.4338	0.6898
2.1167	16.1238	0.0693	207.8864	0.6908
2.1333	16.2169	0.0696	207.3393	0.6918
2.1500	16.3096	0.0700	206.7927	0.6928
2.1667	16.4018	0.0704	206.2464	0.6938
2.1833	16.4935	0.0707	205.7007	0.6947
2.2000	16.5848	0.0711	205.1555	0.6957
2.2167	16.6757	0.0714	204.6109	0.6966
2.2333	16.7661	0.0718	204.0668	0.6975
2.2500	16.8560	0.0721	203.5235	0.6984
2.2667	16.9455	0.0724	202.9808	0.6993
2.2833	17.0346	0.0728	202.4389	0.7002
2.3000	17.1232	0.0731	201.8978	0.7011
2.3167	17.2114	0.0735	201.3575	0.7019
2.3333	17.2992	0.0738	200.8180	0.7028
2.3500	17.3865	0.0741	200.2794	0.7036
2.3667	17.4735	0.0744	199.7416	0.7044
2.3833	17.5600	0.0748	199.2049	0.7052
2.4000	17.6460	0.0751	198.6691	0.7060
2.4167	17.7317	0.0754	198.1342	0.7068
2.4333	17.8170	0.0757	197.6004	0.7075
2.4500	17.9018	0.0760	197.0677	0.7083
2.4667	17.9863	0.0763	196.5360	0.7090
2.4833	18.0704	0.0767	196.0053	0.7098
2.5000	18.1540	0.0770	195.4758	0.7105
2.5167	18.2373	0.0773	194.9475	0.7112
2.5333	18.3201	0.0776	194.4203	0.7119
2.5500	18.4026	0.0779	193.8942	0.7126
2.5667	18.4847	0.0782	193.3694	0.7133
2.5833	18.5664	0.0785	192.8457	0.7140
2.6000	18.6477	0.0788	192.3233	0.7146
2.6167	18.7286	0.0790	191.8021	0.7153
2.6333	18.8092	0.0793	191.2822	0.7159
2.6500	18.8894	0.0796	190.7636	0.7165
2.6667	18.9692	0.0799	190.2462	0.7171
2.6833	19.0487	0.0802	189.7302	0.7178
2.7000	19.1277	0.0805	189.2154	0.7184
2.7167	19.2064	0.0807	188.7020	0.7189
2.7333	19.2848	0.0810	188.1900	0.7195
2.7500	19.3628	0.0813	187.6792	0.7201
2.7667	19.4404	0.0816	187.1699	0.7207
2.7833	19.5177	0.0818	186.6619	0.7212
2.8000	19.5946	0.0821	186.1553	0.7218
2.8167	19.6712	0.0824	185.6501	0.7223
2.8333	19.7474	0.0826	185.1463	0.7228
2.8500	19.8233	0.0829	184.6439	0.7233
2.8667	19.8988	0.0832	184.1429	0.7238
2.8833	19.9740	0.0834	183.6434	0.7243
2.9000	20.0489	0.0837	183.1452	0.7248
2.9167	20.1234	0.0839	182.6486	0.7253
2.9333	20.1976	0.0842	182.1533	0.7258
2.9500	20.2714	0.0844	181.6595	0.7262
2.9667	20.3450	0.0847	181.1672	0.7267
2.9833	20.4182	0.0849	180.6763	0.7271
3.0000	20.4910	0.0852	180.1869	0.7276
3.0167	20.5636	0.0854	179.6990	0.7280
3.0333	20.6358	0.0856	179.2125	0.7284
3.0500	20.7077	0.0859	178.7276	0.7289
3.0667	20.7793	0.0861	178.2441	0.7293
3.0833	20.8505	0.0863	177.7621	0.7297
3.1000	20.9215	0.0866	177.2815	0.7301
3.1167	20.9921	0.0868	176.8025	0.7304
3.1333	21.0625	0.0870	176.3250	0.7308
3.1500	21.1325	0.0873	175.8490	0.7312
3.1667	21.2022	0.0875	175.3744	0.7316
3.1833	21.2716	0.0877	174.9014	0.7319
3.2000	21.3407	0.0879	174.4299	0.7323
3.2167	21.4095	0.0882	173.9598	0.7326
3.2333	21.4781	0.0884	173.4913	0.7329
3.2500	21.5463	0.0886	173.0243	0.7333
3.2667	21.6142	0.0888	172.5588	0.7336
3.2833	21.6818	0.0890	172.0948	0.7339
3.3000	21.7492	0.0892	171.6323	0.7342
3.3167	21.8162	0.0894	171.1714	0.7345
3.3333	21.8830	0.0897	170.7119	0.7348
