# r [fm]	u_real	u_imag	|u|^2	du_real	du_imag	|du|^2
0.001000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000
0.002000	0.001000	0.000000	0.000001	0.999999	-0.000000	0.999998
0.003000	0.002000	-0.000000	0.000004	0.999997	-0.000000	0.999993
0.004000	0.003000	-0.000000	0.000009	0.999992	-0.000000	0.999984
0.005000	0.004000	-0.000000	0.000016	0.999986	-0.000000	0.999972
0.006000	0.005000	-0.000000	0.000025	0.999978	-0.000000	0.999957
0.007000	0.006000	-0.000000	0.000036	0.999969	-0.000000	0.999938
0.008000	0.007000	-0.000000	0.000049	0.999958	-0.000000	0.999915
0.009000	0.008000	-0.000000	0.000064	0.999945	-0.000000	0.999890
0.010000	0.009000	-0.000000	0.000081	0.999930	-0.000000	0.999860
0.011000	0.010000	-0.000000	0.000100	0.999914	-0.000000	0.999827
0.012000	0.011000	-0.000000	0.000121	0.999896	-0.000000	0.999791
0.013000	0.012000	-0.000000	0.000144	0.999876	-0.000000	0.999752
0.014000	0.012999	-0.000000	0.000169	0.999854	-0.000000	0.999708
0.015000	0.013999	-0.000000	0.000196	0.999831	-0.000000	0.999662
0.016000	0.014999	-0.000000	0.000225	0.999806	-0.000000	0.999612
0.017000	0.015999	-0.000000	0.000256	0.999779	-0.000000	0.999558
0.018000	0.016999	-0.000000	0.000289	0.999751	-0.000000	0.999501
0.019000	0.017998	-0.000000	0.000324	0.999721	-0.000000	0.999441
0.020000	0.018998	-0.000000	0.000361	0.999689	-0.000001	0.999377
0.021000	0.019998	-0.000000	0.000400	0.999655	-0.000001	0.999310
0.022000	0.020997	-0.000000	0.000441	0.999620	-0.000001	0.999239
0.023000	0.021997	-0.000000	0.000484	0.999583	-0.000001	0.999165
0.024000	0.022997	-0.000000	0.000529	0.999544	-0.000001	0.999088
0.025000	0.023996	-0.000000	0.000576	0.999503	-0.000001	0.999007
0.026000	0.024996	-0.000000	0.000625	0.999461	-0.000001	0.998922
0.027000	0.025995	-0.000000	0.000676	0.999417	-0.000001	0.998834
0.028000	0.026994	-0.000000	0.000729	0.999371	-0.000001	0.998743
0.029000	0.027994	-0.000000	0.000784	0.999324	-0.000001	0.998648
0.030000	0.028993	-0.000000	0.000841	0.999275	-0.000001	0.998550
0.031000	0.029992	-0.000000	0.000900	0.999224	-0.000001	0.998448
0.032000	0.030991	-0.000000	0.000960	0.999171	-0.000001	0.998343
0.033000	0.031991	-0.000000	0.001023	0.999117	-0.000001	0.998234
0.034000	0.032990	-0.000000	0.001088	0.999061	-0.000002	0.998122
0.035000	0.033989	-0.000000	0.001155	0.999003	-0.000002	0.998007
0.036000	0.034988	-0.000000	0.001224	0.998943	-0.000002	0.997888
0.037000	0.035987	-0.000000	0.001295	0.998882	-0.000002	0.997766
0.038000	0.036985	-0.000000	0.001368	0.998819	-0.000002	0.997640
0.039000	0.037984	-0.000000	0.001443	0.998755	-0.000002	0.997511
0.040000	0.038983	-0.000000	0.001520	0.998688	-0.000002	0.997378
0.041000	0.039982	-0.000000	0.001599	0.998620	-0.000002	0.997242
0.042000	0.040980	-0.000000	0.001679	0.998550	-0.000002	0.997103
0.043000	0.041979	-0.000000	0.001762	0.998479	-0.000003	0.996960
0.044000	0.042977	-0.000000	0.001847	0.998405	-0.000003	0.996813
0.045000	0.043976	-0.000000	0.001934	0.998330	-0.000003	0.996664
0.046000	0.044974	-0.000000	0.002023	0.998254	-0.000003	0.996510
0.047000	0.045972	-0.000000	0.002113	0.998175	-0.000003	0.996354
0.048000	0.046970	-0.000000	0.002206	0.998095	-0.000003	0.996194
0.049000	0.047968	-0.000000	0.002301	0.998013	-0.000003	0.996030
0.050000	0.048966	-0.000000	0.002398	0.997930	-0.000003	0.995863
0.051000	0.049964	-0.000000	0.002496	0.997844	-0.000004	0.995693
0.052000	0.050962	-0.000000	0.002597	0.997757	-0.000004	0.995519
0.053000	0.051960	-0.000000	0.002700	0.997668	-0.000004	0.995342
0.054000	0.052957	-0.000000	0.002804	0.997578	-0.000004	0.995161
0.055000	0.053955	-0.000000	0.002911	0.997486	-0.000004	0.994977
0.056000	0.054952	-0.000000	0.003020	0.997392	-0.000004	0.994790
0.057000	0.055950	-0.000000	0.003130	0.997296	-0.000004	0.994599
0.058000	0.056947	-0.000000	0.003243	0.997199	-0.000005	0.994405
0.059000	0.057944	-0.000000	0.003357	0.997099	-0.000005	0.994207
0.060000	0.058941	-0.000000	0.003474	0.996999	-0.000005	0.994006
0.061000	0.059938	-0.000000	0.003593	0.996896	-0.000005	0.993802
0.062000	0.060935	-0.000000	0.003713	0.996792	-0.000005	0.993594
0.063000	0.061932	-0.000000	0.003836	0.996686	-0.000005	0.993383
0.064000	0.062928	-0.000000	0.003960	0.996578	-0.000006	0.993168
0.065000	0.063925	-0.000000	0.004086	0.996469	-0.000006	0.992950
0.066000	0.064921	-0.000000	0.004215	0.996358	-0.000006	0.992728
0.067000	0.065917	-0.000000	0.004345	0.996245	-0.000006	0.992503
0.068000	0.066914	-0.000000	0.004477	0.996130	-0.000006	0.992275
0.069000	0.067910	-0.000000	0.004612	0.996014	-0.000007	0.992043
0.070000	0.068906	-0.000000	0.004748	0.995896	-0.000007	0.991808
0.071000	0.069901	-0.000000	0.004886	0.995776	-0.000007	0.991570
0.072000	0.070897	-0.000000	0.005026	0.995655	-0.000007	0.991328
0.073000	0.071893	-0.000000	0.005169	0.995531	-0.000007	0.991083
0.074000	0.072888	-0.000000	0.005313	0.995406	-0.000008	0.990834
0.075000	0.073884	-0.000000	0.005459	0.995280	-0.000008	0.990582
0.076000	0.074879	-0.000000	0.005607	0.995152	-0.000008	0.990327
0.077000	0.075874	-0.000000	0.005757	0.995021	-0.000008	0.990068
0.078000	0.076869	-0.000000	0.005909	0.994890	-0.000008	0.989806
0.079000	0.077864	-0.000000	0.006063	0.994756	-0.000009	0.989540
0.080000	0.078858	-0.000000	0.006219	0.994621	-0.000009	0.989271
0.081000	0.079853	-0.000000	0.006376	0.994484	-0.000009	0.988999
0.082000	0.080847	-0.000000	0.006536	0.994346	-0.000009	0.988723
0.083000	0.081842	-0.000000	0.006698	0.994205	-0.000010	0.988444
0.084000	0.082836	-0.000000	0.006862	0.994063	-0.000010	0.988161
0.085000	0.083830	-0.000000	0.007027	0.993919	-0.000010	0.987876
0.086000	0.084824	-0.000000	0.007195	0.993774	-0.000010	0.987586
0.087000	0.085817	-0.000000	0.007365	0.993627	-0.000011	0.987294
0.088000	0.086811	-0.000000	0.007536	0.993478	-0.000011	0.986998
0.089000	0.087804	-0.000000	0.007710	0.993327	-0.000011	0.986699
0.090000	0.088797	-0.000000	0.007885	0.993175	-0.000011	0.986396
0.091000	0.089791	-0.000000	0.008062	0.993021	-0.000012	0.986090
0.092000	0.090783	-0.000000	0.008242	0.992865	-0.000012	0.985781
0.093000	0.091776	-0.000000	0.008423	0.992707	-0.000012	0.985468
0.094000	0.092769	-0.000000	0.008606	0.992548	-0.000012	0.985152
0.095000	0.093761	-0.000000	0.008791	0.992387	-0.000013	0.984833
0.096000	0.094754	-0.000000	0.008978	0.992225	-0.000013	0.984510
0.097000	0.095746	-0.000000	0.009167	0.992060	-0.000013	0.984184
0.098000	0.096738	-0.000000	0.009358	0.991894	-0.000013	0.983854
0.099000	0.097730	-0.000000	0.009551	0.991727	-0.000014	0.983522
0.100000	0.098721	-0.000000	0.009746	0.991557	-0.000014	0.983186
0.101000	0.099713	-0.000000	0.009943	0.991386	-0.000014	0.982846
0.102000	0.100704	-0.000000	0.010141	0.991213	-0.000014	0.982503
0.103000	0.101695	-0.000001	0.010342	0.991038	-0.000015	0.982157
0.104000	0.102686	-0.000001	0.010544	0.990862	-0.000015	0.981808
0.105000	0.103677	-0.000001	0.010749	0.990684	-0.000015	0.981455
0.106000	0.104667	-0.000001	0.010955	0.990504	-0.000016	0.981099
0.107000	0.105658	-0.000001	0.011164	0.990323	-0.000016	0.980740
0.108000	0.106648	-0.000001	0.011374	0.990140	-0.000016	0.980377
0.109000	0.107638	-0.000001	0.011586	0.989955	-0.000017	0.980011
0.110000	0.108628	-0.000001	0.011800	0.989768	-0.000017	0.979641
0.111000	0.109618	-0.000001	0.012016	0.989580	-0.000017	0.979269
0.112000	0.110607	-0.000001	0.012234	0.989390	-0.000017	0.978893
0.113000	0.111596	-0.000001	0.012454	0.989198	-0.000018	0.978514
0.114000	0.112586	-0.000001	0.012676	0.989005	-0.000018	0.978131
0.115000	0.113574	-0.000001	0.012899	0.988810	-0.000018	0.977745
