# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.000200000000000	931621019359476922030175501705358342094848.000000000000000	-84697800488614476907005374551024778346496.000000000000000	1.765342387038137e-39	1.999612750928223e+02
0.000366666666667	5412715061428239518389539700736.000000000000000	-492388695516988773890359558144.000000000000000	1.658316476622718e-28	2.000707308958478e+02
0.000533333333333	20457960008680023387013120.000000000000000	-1862154480131297592475648.000000000000000	3.018207909207712e-23	2.002466139188174e+02
0.000700000000000	9227597996429126409728.000000000000000	-840432695879146635264.000000000000000	5.101291049895309e-20	2.004466335535264e+02
0.000866666666667	43481862552289927392.000000000000000	-3962631862616995744.000000000000000	8.749104202259346e-18	2.006588294310399e+02
0.001033333333333	794420429993037560.250000000000000	-72441549568366930.960937500000000	4.018744558463237e-16	2.008783389927586e+02
0.001200000000000	34499780060316964.406250000000000	-3147862968989643.085205078125000	7.973362543244215e-15	2.011027647661809e+02
0.001366666666667	2710374991747813.579833984375000	-247452284098955.786437988281250	8.916724633007683e-14	2.013307710810864e+02
0.001533333333333	326304049695559.916259765625000	-29809011368435.905672073364258	6.605367268170936e-13	2.015615479057455e+02
0.001700000000000	54067739389854.580966949462891	-4942273517259.062466144561768	3.597725049182369e-12	2.017945723227905e+02
0.001866666666667	11462010528797.714595794677734	-1048366798301.049150705337524	1.546489737281920e-11	2.020294902172244e+02
0.002033333333333	2952419418239.572496175765991	-270205905000.668360278010368	5.515030557348635e-11	2.022660525724024e+02
0.002200000000000	889903763548.039994895458221	-81493804388.003793716430664	1.692112358269090e-10	2.025040788851254e+02
0.002366666666667	305150997939.684184402227402	-27961569903.975596802309155	4.589906374813295e-10	2.027434350459196e+02
0.002533333333333	116498639161.857205562293530	-10681524973.763051879592240	1.123838097065853e-09	2.029840193585195e+02
0.002700000000000	48690824440.191562462598085	-4467099573.372617351822555	2.524455418483704e-09	2.032257534041982e+02
0.002866666666667	21983200581.317888354882598	-2018068822.721227957168594	5.269538378881091e-09	2.034685758605206e+02
0.003033333333333	10606734905.895945214666426	-974302375.126530040230136	1.032764662702740e-08	2.037124382318079e+02
0.003200000000000	5421408232.140858060214669	-498300825.695384269492934	1.916479171588770e-08	2.039573018125442e+02
0.003366666666667	2914358858.276096538873389	-268034333.705162925602053	3.390677309953592e-08	2.042031354878583e+02
0.003533333333333	1637796936.702046744991094	-150721712.051902168299421	5.752396323914051e-08	2.044499141243682e+02
0.003700000000000	957339184.541792227595579	-88155705.114521474737558	9.403514790409605e-08	2.046976173493345e+02
0.003866666666667	579559795.770506102126092	-53401336.514252904264140	1.487262207801529e-07	2.049462286387097e+02
0.004033333333333	362049042.844489222625270	-33380361.324236731803467	2.283790265449342e-07	2.051957346055508e+02
0.004200000000000	232651844.782045597414253	-21463490.629166175063801	3.415054275517901e-07	2.054461244450163e+02
0.004366666666667	153367432.979975087204366	-14157862.683427728688002	4.985817005674034e-07	2.056973895083310e+02
0.004533333333333	103470978.066908587192302	-9557719.287277405369423	7.122786055820524e-07	2.059495229479174e+02
0.004700000000000	71295609.548757983640826	-6589768.383089886630842	9.976828595851650e-07	2.062025194499346e+02
0.004866666666667	50081201.434205020770605	-4631847.271497866410300	1.372506246513318e-06	2.064563749999525e+02
0.005033333333333	35805997.405924393384339	-3313659.496753100351498	1.857279158287195e-06	2.067110867080781e+02
0.005200000000000	26018741.292460544096684	-2409414.308467774994142	2.475525954035412e-06	2.069666526545991e+02
0.005366666666667	19191748.106646374491902	-1778333.975861625372090	3.253920116832065e-06	2.072230717634989e+02
0.005533333333333	14353156.558056496536665	-1330822.992306560565908	4.222417756756197e-06	2.074803436968071e+02
0.005700000000000	10872832.031361103571726	-1008765.292646050382814	5.414368540085433e-06	2.077384687712600e+02
0.005866666666667	8334937.292749118845222	-773793.128794511732394	6.866603605714114e-06	2.079974478832294e+02
0.006033333333333	6460515.571694154518809	-600157.576163635128296	8.619500455950180e-06	2.082572824432561e+02
0.006200000000000	5059551.417897765189537	-470312.172731945360425	1.071702517656468e-05	2.085179743184384e+02
0.006366666666667	4000752.198581694414770	-372128.094686902402799	1.320675265139348e-05	2.087795257936075e+02
0.006533333333333	3192180.422674663722546	-297108.688422878743353	1.613986568859398e-05	2.090419395206041e+02
0.006700000000000	2568645.796533235568631	-239226.770524331441294	1.957113418007662e-05	2.093052184922943e+02
0.006866666666667	2083376.955371319927167	-194156.336069669262841	2.355887556470961e-05	2.095693660012099e+02
0.007033333333333	1702444.126786802159017	-158757.868944149797770	2.816489798095792e-05	2.098343856202149e+02
0.007200000000000	1400975.480291381703523	-130729.059947556982962	3.345442756172348e-05	2.101002811738315e+02
0.007366666666667	1160558.843667247605595	-108364.869754014422597	3.949602136599963e-05	2.103670567122768e+02
0.007533333333333	967436.780072153136700	-90390.798689771314123	4.636146745501266e-05	2.106347165002387e+02
0.007700000000000	811239.065734428527605	-75845.760134785494017	5.412567360033920e-05	2.109032649885019e+02
0.007866666666667	684083.344125054351196	-63998.948153101151039	6.286654609200099e-05	2.111727068075249e+02
0.008033333333333	579930.749138010990578	-54290.253963532830305	7.266486005195977e-05	2.114430467423761e+02
0.008200000000000	494119.911096675583309	-46287.162809877409774	8.360412261663789e-05	2.117142897276283e+02
0.008366666666667	423026.980757354467698	-39653.296887497199187	9.577043026672371e-05	2.119864408307601e+02
0.008533333333333	363815.503648211316772	-34125.264371395348810	1.092523215175042e-04	2.122595052367316e+02
0.008700000000000	314250.922829286297173	-29495.484733669651529	1.241406261084446e-04	2.125334882458474e+02
0.008866666666667	272561.959328147079475	-25599.350206250882268	1.405283117276416e-04	2.128083952533361e+02
0.009033333333333	237336.267750408102899	-22305.558614641306377	1.585103292576953e-04	2.130842317490259e+02
0.009200000000000	207441.344742864754764	-19508.783467116434435	1.781834574123062e-04	2.133610033045060e+02
0.009366666666667	181964.179238220900459	-17124.079185754588361	1.996461475757020e-04	2.136387155634988e+02
0.009533333333333	160164.909714129958473	-15082.583508410598895	2.229983695702848e-04	2.139173742329419e+02
0.009700000000000	141441.020120828583629	-13328.196148435198059	2.483414590106730e-04	2.141969850809158e+02
0.009866666666667	125299.515966064924577	-11814.996917467838739	2.757779668131384e-04	2.144775539294256e+02
0.010033333333333	111335.180469224849539	-10505.227407498926397	3.054115113647217e-04	2.147590866405935e+02
0.010200000000000	99213.490543611524913	-9367.704715892102753	3.373466338272698e-04	2.150415891194056e+02
0.010366666666667	88657.124456367365454	-8376.568273400073505	3.716886569283224e-04	2.153250673040364e+02
0.010533333333333	79435.252993305373266	-7510.284897117689176	4.085435475798770e-04	2.156095271567518e+02
0.010700000000000	71354.999157605333600	-6750.855075279687164	4.480177836272151e-04	2.158949746676683e+02
0.010866666666667	64254.595865415906054	-6083.176864209162375	4.902182249012966e-04	2.161814158397816e+02
0.011033333333333	57997.879674176491218	-5494.533834686279695	5.352519888285104e-04	2.164688566932106e+02
0.011200000000000	52469.840695735998864	-4974.181111404309081	5.832263306842025e-04	2.167573032572945e+02
0.011366666666667	47573.011243265582980	-4513.009331844567142	6.342485286147014e-04	2.170467615623701e+02
0.011533333333333	43224.523445927483994	-4103.270770619207029	6.884257735454077e-04	2.173372376454218e+02
0.011700000000000	39353.702687585134967	-3738.355270198662802	7.458650639264373e-04	2.176287375355647e+02
0.011866666666667	35900.091968585058972	-3412.606238661683843	8.066731054538376e-04	2.179212672616703e+02
0.012033333333333	32811.824203199798120	-3121.169006991723407	8.709562156259320e-04	2.182148328382311e+02
0.012200000000000	30044.276510765061845	-2859.865420559233836	9.388202332457512e-04	2.185094402718078e+02
0.012366666666667	27558.953906747020129	-2625.089777600047333	1.010370432709091e-03	2.188050955541975e+02
0.012533333333333	25322.560271998652244	-2413.722199891836347	1.085711443052905e-03	2.191018046556704e+02
0.012700000000000	23306.222742238950950	-2223.056288030893026	1.164947171759618e-03	2.193995735322702e+02
0.012866666666667	21484.842205563446933	-2050.738521382826767	1.248180733063396e-03	2.196984081121196e+02
0.013033333333333	19836.547790180007212	-1894.717345653142858	1.335514380870181e-03	2.199983143045203e+02
0.013200000000000	18342.237379162942199	-1753.200276640970667	1.427049445952195e-03	2.202992979869616e+02
0.013366666666667	16985.189504920421227	-1624.617657268653565	1.522886277552305e-03	2.206013650154611e+02
0.013533333333333	15750.734650432267844	-1507.591953220233486	1.623124188972887e-03	2.209045212077404e+02
0.013700000000000	14625.976130445614992	-1400.911672425056224	1.727861407366304e-03	2.212087723540109e+02
0.013866666666667	13599.552471245606196	-1303.509155625953275	1.837195027340436e-03	2.215141242140489e+02
0.014033333333333	12661.434617334488749	-1214.441616578784630	1.951220968263789e-03	2.218205825075506e+02
0.014200000000000	11802.752442770651165	-1132.874917396282682	2.070033935340563e-03	2.221281529225644e+02
0.014366666666667	11015.645985808715583	-1058.069651974311111	2.193727384068150e-03	2.224368411099383e+02
0.014533333333333	10293.137592386782511	-989.369181948908849	2.322393488043595e-03	2.227466526785920e+02
0.014700000000000	9629.021785747042419	-926.189328428452412	2.456123110116076e-03	2.230575932036069e+02
0.014866666666667	9017.770200684050899	-868.009471206347010	2.595005776425906e-03	2.233696682147119e+02
0.015033333333333	8454.449348254394235	-814.364847101598012	2.739129653617718e-03	2.236828832063242e+02
0.015200000000000	7934.649334653463169	-764.839872268663141	2.888581528631498e-03	2.239972436259400e+02
0.015366666666667	7454.421950957902085	-719.062340765440080	3.043446791416477e-03	2.243127548830523e+02
0.015533333333333	7010.226797975551041	-676.698374620418700	3.203809420047611e-03	2.246294223444364e+02
0.015700000000000	6598.884314223804829	-637.448019716825771	3.369751968260818e-03	2.249472513295093e+02
0.015866666666667	6217.534746613347406	-601.041397800516627	3.541355555501756e-03	2.252662471196673e+02
0.016033333333333	5863.602247955954710	-567.235338345452056	3.718699858867372e-03	2.255864149467609e+02
0.016200000000000	5534.763404757250138	-535.810425234846832	3.901863107436681e-03	2.259077600025406e+02
0.016366666666667	5228.919601770066809	-506.568402740812749	4.090922078363083e-03	2.262302874343060e+02
0.016533333333333	4944.172714698537730	-479.329893267921359	4.285952094800297e-03	2.265540023403414e+02
0.016700000000000	4678.803695077905620	-453.932386101588109	4.487027025841821e-03	2.268789097797425e+02
0.016866666666667	4431.253673485822434	-430.228462161410365	4.694219287724884e-03	2.272050147611214e+02
0.017033333333333	4200.107258392024724	-408.084224605958123	4.907599847009459e-03	2.275323222536878e+02
0.017200000000000	3984.077753475008478	-387.377909316051070	5.127238224837578e-03	2.278608371789273e+02
0.017366666666667	3781.994053230134504	-367.998652797325278	5.353202502671259e-03	2.281905644090491e+02
0.017533333333333	3592.789009329584856	-349.845398073798723	5.585559329654463e-03	2.285215087800226e+02
0.017700000000000	3415.489088337361914	-332.825921744228174	5.824373930516472e-03	2.288536750759692e+02
0.017866666666667	3249.205164100884754	-316.855967562984672	6.069710115251400e-03	2.291870680421548e+02
0.018033333333333	3093.124309597956360	-301.858473842762226	6.321630289242312e-03	2.295216923736634e+02
0.018200000000000	2946.502469597312396	-287.762883589248102	6.580195464939369e-03	2.298575527273113e+02
0.018366666666667	2808.657911423385460	-274.504527713973895	6.845465273806090e-03	2.301946537100848e+02
0.018533333333333	2678.965363375203401	-262.024072869667146	7.117497979692823e-03	2.305329998896866e+02
0.018700000000000	2556.850762283459177	-250.267026525727621	7.396350492574819e-03	2.308725957906313e+02
0.018866666666667	2441.786541032611878	-239.183292803384887	7.682078382937517e-03	2.312134458897081e+02
0.019033333333333	2333.287395360611253	-228.726773383151368	7.974735897307335e-03	2.315555546272114e+02
0.019200000000000	2230.906476946969467	-218.855008495347348	8.274375973615778e-03	2.318989263949731e+02
0.019366666666667	2134.231965647091967	-209.528853588157627	8.581050257850970e-03	2.322435655474037e+02
0.019533333333333	2042.883979835096127	-200.712187804573942	8.894809120684917e-03	2.325894763972959e+02
0.019700000000000	1956.511788333118132	-192.371650845383287	9.215701674503602e-03	2.329366632118160e+02
0.019866666666667	1874.791291685612642	-184.476405194331172	9.543775791399200e-03	2.332851302234880e+02
0.020033333333333	1797.422744512701414	-176.997921037164699	9.879078120625049e-03	2.336348816183844e+02
0.020200000000000	1724.128693499476589	-169.909781499354855	1.022165410732119e-02	2.339859215488245e+02
0.020366666666667	1654.652108906686568	-163.187506108304784	1.057154801050624e-02	2.343382541217376e+02
0.020533333333333	1588.754689540668396	-156.808390608372686	1.092880292224263e-02	2.346918834096020e+02
0.020700000000000	1526.215323714964671	-150.751361474868951	1.129346078636568e-02	2.350468134464513e+02
0.020866666666667	1466.828690433789073	-144.996843648606069	1.166556241733345e-02	2.354030482239105e+02
0.021033333333333	1410.403986761390245	-139.526640173943671	1.204514751992069e-02	2.357605917020604e+02
0.021200000000000	1356.763769033786620	-134.323822570256869	1.243225470809612e-02	2.361194478011111e+02
0.021366666666667	1305.742896665613136	-129.372630885508268	1.282692152435849e-02	2.364796204017266e+02
0.021533333333333	1257.187568612832621	-124.658382495174656	1.322918445946475e-02	2.368411133516024e+02
0.021700000000000	1210.954443629047829	-120.167388809004090	1.363907897181053e-02	2.372039304646005e+02
0.021866666666667	1166.909836308540410	-115.886879133305750	1.405663950677462e-02	2.375680755194996e+02
0.022033333333333	1124.928981766436941	-111.804931014896920	1.448189951587358e-02	2.379335522562700e+02
0.022200000000000	1084.895362486310583	-107.910406460245440	1.491489147674548e-02	2.383003643869586e+02
0.022366666666667	1046.700091670860473	-104.192893488978244	1.535564691173560e-02	2.386685155841108e+02
0.022533333333333	1010.241347777794830	-100.642652528976444	1.580419640779521e-02	2.390380094921308e+02
0.022700000000000	975.423855677333419	-97.250567215636783	1.626056963533442e-02	2.394088497229198e+02
0.022866666666667	942.158410174436429	-94.008099197011649	1.672479536694607e-02	2.397810398519507e+02
0.023033333333333	910.361438067066563	-90.907246585840310	1.719690149705718e-02	2.401545834296859e+02
0.023200000000000	879.954595406018116	-87.940505737753754	1.767691505982925e-02	2.405294839693415e+02
0.023366666666667	850.864396744569083	-85.100836060243191	1.816486224871432e-02	2.409057449604518e+02
