# E_lab [MeV]	L_real	L_imag	|L|
0.000167	4.863646	-0.017995	4.863679
0.000333	4.863607	-0.017995	4.863640
0.000500	4.863567	-0.017994	4.863601
0.000667	4.863528	-0.017994	4.863561
0.000833	4.863488	-0.017994	4.863522
0.001000	4.863449	-0.017994	4.863482
0.001167	4.863410	-0.017993	4.863443
0.001333	4.863370	-0.017993	4.863404
0.001500	4.863331	-0.017993	4.863364
0.001667	4.863291	-0.017992	4.863325
0.001833	4.863252	-0.017992	4.863285
0.002000	4.863213	-0.017992	4.863246
0.002167	4.863173	-0.017992	4.863206
0.002333	4.863134	-0.017991	4.863167
0.002500	4.863094	-0.017991	4.863128
0.002667	4.863055	-0.017991	4.863088
0.002833	4.863016	-0.017991	4.863049
0.003000	4.862976	-0.017990	4.863009
0.003167	4.862937	-0.017990	4.862970
0.003333	4.862897	-0.017990	4.862931
0.003500	4.862858	-0.017990	4.862891
0.003667	4.862819	-0.017989	4.862852
0.003833	4.862779	-0.017989	4.862812
0.004000	4.862740	-0.017989	4.862773
0.004167	4.862700	-0.017989	4.862734
0.004333	4.862661	-0.017988	4.862694
0.004500	4.862622	-0.017988	4.862655
0.004667	4.862582	-0.017988	4.862615
0.004833	4.862543	-0.017987	4.862576
0.005000	4.862503	-0.017987	4.862537
0.005167	4.862464	-0.017987	4.862497
0.005333	4.862425	-0.017987	4.862458
0.005500	4.862385	-0.017986	4.862418
0.005667	4.862346	-0.017986	4.862379
0.005833	4.862306	-0.017986	4.862340
0.006000	4.862267	-0.017986	4.862300
0.006167	4.862228	-0.017985	4.862261
0.006333	4.862188	-0.017985	4.862221
0.006500	4.862149	-0.017985	4.862182
0.006667	4.862109	-0.017985	4.862143
0.006833	4.862070	-0.017984	4.862103
0.007000	4.862031	-0.017984	4.862064
0.007167	4.861991	-0.017984	4.862024
0.007333	4.861952	-0.017984	4.861985
0.007500	4.861912	-0.017983	4.861946
0.007667	4.861873	-0.017983	4.861906
0.007833	4.861834	-0.017983	4.861867
0.008000	4.861794	-0.017982	4.861828
0.008167	4.861755	-0.017982	4.861788
0.008333	4.861716	-0.017982	4.861749
0.008500	4.861676	-0.017982	4.861709
0.008667	4.861637	-0.017981	4.861670
0.008833	4.861597	-0.017981	4.861631
0.009000	4.861558	-0.017981	4.861591
0.009167	4.861519	-0.017981	4.861552
0.009333	4.861479	-0.017980	4.861512
0.009500	4.861440	-0.017980	4.861473
0.009667	4.861400	-0.017980	4.861434
0.009833	4.861361	-0.017980	4.861394
0.010000	4.861322	-0.017979	4.861355
0.010167	4.861282	-0.017979	4.861316
0.010333	4.861243	-0.017979	4.861276
0.010500	4.861204	-0.017979	4.861237
0.010667	4.861164	-0.017978	4.861197
0.010833	4.861125	-0.017978	4.861158
0.011000	4.861085	-0.017978	4.861119
0.011167	4.861046	-0.017978	4.861079
0.011333	4.861007	-0.017977	4.861040
0.011500	4.860967	-0.017977	4.861000
0.011667	4.860928	-0.017977	4.860961
0.011833	4.860888	-0.017976	4.860922
0.012000	4.860849	-0.017976	4.860882
0.012167	4.860810	-0.017976	4.860843
0.012333	4.860770	-0.017976	4.860804
0.012500	4.860731	-0.017975	4.860764
0.012667	4.860692	-0.017975	4.860725
0.012833	4.860652	-0.017975	4.860685
0.013000	4.860613	-0.017975	4.860646
0.013167	4.860573	-0.017974	4.860607
0.013333	4.860534	-0.017974	4.860567
0.013500	4.860495	-0.017974	4.860528
0.013667	4.860455	-0.017974	4.860489
0.013833	4.860416	-0.017973	4.860449
0.014000	4.860377	-0.017973	4.860410
0.014167	4.860337	-0.017973	4.860370
0.014333	4.860298	-0.017973	4.860331
0.014500	4.860259	-0.017972	4.860292
0.014667	4.860219	-0.017972	4.860252
0.014833	4.860180	-0.017972	4.860213
0.015000	4.860140	-0.017971	4.860174
0.015167	4.860101	-0.017971	4.860134
0.015333	4.860062	-0.017971	4.860095
0.015500	4.860022	-0.017971	4.860056
0.015667	4.859983	-0.017970	4.860016
0.015833	4.859944	-0.017970	4.859977
0.016000	4.859904	-0.017970	4.859937
0.016167	4.859865	-0.017970	4.859898
0.016333	4.859825	-0.017969	4.859859
0.016500	4.859786	-0.017969	4.859819
0.016667	4.859747	-0.017969	4.859780
0.016833	4.859707	-0.017969	4.859741
0.017000	4.859668	-0.017968	4.859701
0.017167	4.859629	-0.017968	4.859662
0.017333	4.859589	-0.017968	4.859623
0.017500	4.859550	-0.017968	4.859583
0.017667	4.859511	-0.017967	4.859544
0.017833	4.859471	-0.017967	4.859504
0.018000	4.859432	-0.017967	4.859465
0.018167	4.859393	-0.017967	4.859426
0.018333	4.859353	-0.017966	4.859386
0.018500	4.859314	-0.017966	4.859347
0.018667	4.859274	-0.017966	4.859308
0.018833	4.859235	-0.017965	4.859268
0.019000	4.859196	-0.017965	4.859229
0.019167	4.859156	-0.017965	4.859190
0.019333	4.859117	-0.017965	4.859150
0.019500	4.859078	-0.017964	4.859111
0.019667	4.859038	-0.017964	4.859072
0.019833	4.858999	-0.017964	4.859032
0.020000	4.858960	-0.017964	4.858993
0.020167	4.858920	-0.017963	4.858953
0.020333	4.858881	-0.017963	4.858914
0.020500	4.858842	-0.017963	4.858875
0.020667	4.858802	-0.017963	4.858835
0.020833	4.858763	-0.017962	4.858796
0.021000	4.858724	-0.017962	4.858757
0.021167	4.858684	-0.017962	4.858717
0.021333	4.858645	-0.017962	4.858678
0.021500	4.858605	-0.017961	4.858639
0.021667	4.858566	-0.017961	4.858599
0.021833	4.858527	-0.017961	4.858560
0.022000	4.858487	-0.017961	4.858521
0.022167	4.858448	-0.017960	4.858481
0.022333	4.858409	-0.017960	4.858442
0.022500	4.858369	-0.017960	4.858403
0.022667	4.858330	-0.017959	4.858363
0.022833	4.858291	-0.017959	4.858324
0.023000	4.858251	-0.017959	4.858285
0.023167	4.858212	-0.017959	4.858245
0.023333	4.858173	-0.017958	4.858206
0.023500	4.858133	-0.017958	4.858167
0.023667	4.858094	-0.017958	4.858127
0.023833	4.858055	-0.017958	4.858088
0.024000	4.858015	-0.017957	4.858049
0.024167	4.857976	-0.017957	4.858009
0.024333	4.857937	-0.017957	4.857970
0.024500	4.857897	-0.017957	4.857930
0.024667	4.857858	-0.017956	4.857891
0.024833	4.857819	-0.017956	4.857852
0.025000	4.857779	-0.017956	4.857812
0.025167	4.857740	-0.017956	4.857773
0.025333	4.857701	-0.017955	4.857734
0.025500	4.857661	-0.017955	4.857694
0.025667	4.857622	-0.017955	4.857655
0.025833	4.857583	-0.017954	4.857616
0.026000	4.857543	-0.017954	4.857576
0.026167	4.857504	-0.017954	4.857537
0.026333	4.857465	-0.017954	4.857498
0.026500	4.857425	-0.017953	4.857458
0.026667	4.857386	-0.017953	4.857419
0.026833	4.857347	-0.017953	4.857380
0.027000	4.857307	-0.017953	4.857340
0.027167	4.857268	-0.017952	4.857301
0.027333	4.857229	-0.017952	4.857262
0.027500	4.857189	-0.017952	4.857222
0.027667	4.857150	-0.017952	4.857183
0.027833	4.857111	-0.017951	4.857144
0.028000	4.857071	-0.017951	4.857104
