# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.000200000000000	916111047553865761888499265568869133058048.000000000000000	-84266842544450349075653290089055462096896.000000000000000	1.815982519210143e-39	2.056973099120920e+02
0.000366666666667	5322548703230933279065623232512.000000000000000	-489883366697041452582601490432.000000000000000	1.705920208657296e-28	2.058139732719500e+02
0.000533333333333	20116963650513291792351232.000000000000000	-1852679762644475553644544.000000000000000	3.104910266527692e-23	2.059989855228873e+02
0.000700000000000	9073699437439107297792.000000000000000	-836156600288873325440.000000000000000	5.247937139283003e-20	2.062088444632835e+02
0.000866666666667	42756236411132753900.000000000000000	-3942470397198507127.500000000000000	9.000792526988821e-18	2.064312472070946e+02
0.001033333333333	781155208576518224.500000000000000	-72072979551784483.382812500000000	4.134435525009611e-16	2.066611920351001e+02
0.001200000000000	33923358562663927.771484375000000	-3131847414034193.400878906250000	8.203062332145588e-15	2.068962129335934e+02
0.001366666666667	2665062974533417.225341796875000	-246193325225601.712097167968750	9.173784897480799e-14	2.071349361070084e+02
0.001533333333333	320845628039804.936523437500000	-29657354685803.568517684936523	6.795929816339634e-13	2.073765284544928e+02
0.001700000000000	53162749215388.268432617187500	-4917129500412.984282016754150	3.701592629835811e-12	2.076204522134530e+02
0.001866666666667	11270042933533.400620460510254	-1043033264595.425916314125061	1.591169518026106e-11	2.078663432587650e+02
0.002033333333333	2902941994211.195773601531982	-268831260102.317738816142082	5.674480490697190e-11	2.081139455742591e+02
0.002200000000000	874981509962.016851007938385	-81079218815.307647615671158	1.741069779041277e-10	2.083630736200878e+02
0.002366666666667	300031009818.866881728172302	-27819322271.407834917306900	4.722800738125841e-10	2.086135895798064e+02
0.002533333333333	114542777018.302082575857639	-10627186096.636415930464864	1.156400794680005e-09	2.088653889794049e+02
0.002700000000000	47872871736.559452366083860	-4444374937.317925802432001	2.597653334551091e-09	2.091183912901733e+02
0.002866666666667	21613682145.818740751594305	-2007802824.604286312824115	5.422442244300414e-09	2.093725335705780e+02
0.003033333333333	10428336291.439090291038156	-969346128.916937901580241	1.062753708129953e-08	2.096277660744884e+02
0.003200000000000	5330167890.893977088388056	-495766020.303897768084425	1.972169689574687e-08	2.098840491277964e+02
0.003366666666667	2865281260.086389298085123	-266670889.570744150711107	3.489278010163207e-08	2.101413508659466e+02
0.003533333333333	1610199657.387643507565372	-149955027.623644731560489	5.919797780123829e-08	2.103996455787364e+02
0.003700000000000	941197886.668971298262477	-87707284.931163161170844	9.677368132811563e-08	2.106589124546502e+02
0.003866666666667	569782072.690602237475105	-53129704.621666090079088	1.530606637361241e-07	2.109191346428839e+02
0.004033333333333	355937171.298927108204225	-33210570.752371173000938	2.350397345953803e-07	2.111802985214298e+02
0.004200000000000	228721948.254942928979290	-21354317.239267102086160	3.514728012619420e-07	2.114423931260910e+02
0.004366666666667	150775188.035006949299714	-14085850.157729404422753	5.131443011801832e-07	2.117054097126270e+02
0.004533333333333	101721009.736261989390186	-9509105.604417327424926	7.330982114030653e-07	2.119693413914286e+02
0.004700000000000	70089064.209642179404909	-6556251.138558291370373	1.026866243026668e-06	2.122341828526852e+02
0.004866666666667	49233143.924171837315953	-4608288.844260270831001	1.412683340394204e-06	2.124999301252953e+02
0.005033333333333	35199293.863484664216230	-3296805.851530534524272	1.911687184487161e-06	2.127665803969258e+02
0.005200000000000	25577599.997183283876439	-2397159.928033437546446	2.548099008896320e-06	2.130341318555325e+02
0.005366666666667	18866153.552439640083321	-1769289.422919907407163	3.349383645884896e-06	2.133025835589424e+02
0.005533333333333	14109497.994615847682326	-1324054.561703558167665	4.346387305896643e-06	2.135719353263757e+02
0.005700000000000	10688139.602404797364215	-1003634.886793071327645	5.573452140173943e-06	2.138421876526653e+02
0.005866666666667	8193266.146561131277394	-769857.805959156040672	7.068507131402046e-06	2.141133416311617e+02
0.006033333333333	6350635.379904856132725	-597105.364162772891348	8.873135295769170e-06	2.143853988861492e+02
0.006200000000000	4973444.526139346995478	-467920.347030366658032	1.103261755837985e-05	2.146583615137893e+02
0.006366666666667	3932621.674499632918241	-370235.621763520877437	1.359595398351810e-05	2.149322320420012e+02
0.006533333333333	3137785.019554800644983	-295597.751014567036862	1.661586330061832e-05	2.152070133783787e+02
0.006700000000000	2524847.804324291177181	-238010.206959398802596	2.014876187733860e-05	2.154827087833627e+02
0.006866666666667	2047830.723515512268477	-193168.987497423582170	2.425472344480912e-05	2.157593218276325e+02
0.007033333333333	1673378.824838284814518	-157950.544500434233413	2.899742099879973e-05	2.160368563723416e+02
0.007200000000000	1377041.810571379712883	-130064.278506664130248	3.444405236978666e-05	2.163153165393913e+02
0.007366666666667	1140719.685243034112659	-107813.822086393661920	4.066525099831953e-05	2.165947066847284e+02
0.007533333333333	950888.360151477713941	-89931.157663067663876	4.773498346571947e-05	2.168750313868307e+02
0.007700000000000	797353.576252133844207	-75460.086653823384999	5.573043530956947e-05	2.171562954173569e+02
0.007866666666667	672366.779333592261821	-63673.519931439644125	6.473188663375414e-05	2.174385037346118e+02
0.008033333333333	569991.652528091072156	-54014.197349186076330	7.482257895842624e-05	2.177216614575309e+02
0.008200000000000	485646.014178257179850	-46051.803840865998488	8.608857471275907e-05	2.180057738605882e+02
0.008366666666667	415767.601378817266777	-39451.672342248948656	9.861861068528829e-05	2.182908463564932e+02
0.008533333333333	357568.183060544813770	-33951.750567199449033	1.125039466802776e-04	2.185768844802930e+02
0.008700000000000	308851.207278937414657	-29345.513676578597115	1.278382105518462e-04	2.188638938872143e+02
0.008866666666667	267875.532262841244432	-25469.191038067984108	1.447172406815002e-04	2.191518803314788e+02
0.009033333333333	233252.851985400978677	-22192.148226981890332	1.632389269146566e-04	2.194408496659932e+02
0.009200000000000	203869.946655887873618	-19409.594395024819903	1.835030508508827e-04	2.197308078290665e+02
0.009366666666667	178829.357304294735656	-17037.015955834662201	2.056111263239164e-04	2.200217608343767e+02
0.009533333333333	157403.829880428031458	-15005.900844013395640	2.296662408185248e-04	2.203137147617782e+02
0.009700000000000	139001.119278527268293	-13260.434066659530244	2.557728985020473e-04	2.206066757552192e+02
0.009866666666667	123136.638131233467917	-11754.928957090543172	2.840368654563823e-04	2.209006500151046e+02
0.010033333333333	109412.082491040952647	-10451.819121606509095	3.145650176304587e-04	2.211956437841161e+02
0.010200000000000	97498.638237883006724	-9320.080231890175256	3.474651920025059e-04	2.214916633499197e+02
0.010366666666667	87123.718176995239702	-8333.983226279179148	3.828460413154616e-04	2.217887150353177e+02
0.010533333333333	78060.435363982337044	-7472.104422688807876	4.208168927362931e-04	2.220868051886343e+02
0.010700000000000	70119.208120711868908	-6716.535839952881560	4.614876107519480e-04	2.223859401876706e+02
0.010866666666667	63141.034191393266809	-6052.252329735307942	5.049684644803489e-04	2.226861264241699e+02
0.011033333333333	56992.078219654457296	-5466.602126980109066	5.513699996589333e-04	2.229873703082031e+02
0.011200000000000	51559.297450924047986	-4948.894994575038109	6.008029154000980e-04	2.232896782600167e+02
0.011366666666667	46746.891902719726051	-4490.067891161864630	6.533779458422492e-04	2.235930567014117e+02
0.011533333333333	42473.412121124446344	-4082.412488263207824	7.092057468190716e-04	2.238975120616235e+02
0.011700000000000	38669.393642507458871	-3719.352240497263819	7.683967874967097e-04	2.242030507622563e+02
0.011866666666667	35275.415042704086002	-3395.259319051831726	8.310612471226489e-04	2.245096792251935e+02
0.012033333333333	32240.497997328677295	-3105.303740137854695	8.973089167415299e-04	2.248174038579962e+02
0.012200000000000	29520.784532784147904	-2845.328594215613947	9.672491059925405e-04	2.251262310603733e+02
0.012366666666667	27078.439768880845147	-2611.746513655542469	1.040990554825808e-03	2.254361672173551e+02
0.012533333333333	24880.738748166796007	-2401.453483947893035	1.118641350108544e-03	2.257472186919692e+02
0.012700000000000	22899.304070188845438	-2211.756866868229477	1.200308847122536e-03	2.260593918331224e+02
0.012866666666667	21109.467483583605729	-2040.315108591428215	1.286099595685599e-03	2.263726929611367e+02
0.013033333333333	19489.733694759628522	-1885.087086160038457	1.376119271018574e-03	2.266871283773019e+02
0.013200000000000	18021.328735989253591	-1744.289429370763855	1.470472609005039e-03	2.270027043503843e+02
0.013366666666667	16687.818495143413962	-1616.360462103250106	1.569263345985786e-03	2.273194271272854e+02
0.013533333333333	15474.785638173763838	-1499.929654091898369	1.672594162649157e-03	2.276373029156091e+02
0.013700000000000	14369.555265034171947	-1393.791673029831144	1.780566632243530e-03	2.279563378948747e+02
0.013866666666667	13360.961355458698194	-1296.884288071967469	1.893281172712284e-03	2.282765382134879e+02
0.014033333333333	12439.147446711374358	-1208.269506444445497	2.010837002632360e-03	2.285979099786639e+02
0.014200000000000	11595.396115254577421	-1127.117431289914017	2.133332101031857e-03	2.289204592651561e+02
0.014366666666667	10821.982759151137881	-1052.692415858004330	2.260863170687271e-03	2.292441921096304e+02
0.014533333333333	10112.049931861563985	-984.341160298148255	2.393525604862449e-03	2.295691145055453e+02
0.014700000000000	9459.499099029746585	-921.482455807476047	2.531413457495274e-03	2.298952324117953e+02
0.014866666666667	8858.897202231194682	-863.598329102458865	2.674619416346608e-03	2.302225517404456e+02
0.015033333333333	8305.395833640383172	-810.226379920558501	2.823234779423092e-03	2.305510783674146e+02
0.015200000000000	7794.661177406232457	-760.953137284396988	2.977349434047051e-03	2.308808181203571e+02
0.015366666666667	7322.813161476223745	-715.408287568510388	3.137051838935654e-03	2.312117767878228e+02
0.015533333333333	6886.372506940641542	-673.259650243685187	3.302429008753596e-03	2.315439601144584e+02
0.015700000000000	6482.214562276736121	-634.208796154524524	3.473566501152896e-03	2.318773737961140e+02
0.015866666666667	6107.528978486043020	-597.987219092937711	3.650548406403315e-03	2.322120234895880e+02
0.016033333333333	5759.784423204489995	-564.352984789130748	3.833457338968116e-03	2.325479148006737e+02
0.016200000000000	5436.697649160837894	-533.087792609190344	4.022374431539834e-03	2.328850532938392e+02
0.016366666666667	5136.206333610251016	-503.994394723949437	4.217379330894448e-03	2.332234444879770e+02
0.016533333333333	4856.445188852638490	-476.894325456814365	4.418550195622526e-03	2.335630938512916e+02
0.016700000000000	4595.724915305446569	-451.625900258209741	4.625963695947473e-03	2.339040068117989e+02
0.016866666666667	4352.513629705202108	-428.042449485034561	4.839695014836774e-03	2.342461887455310e+02
0.017033333333333	4125.420451265084441	-406.010756984989613	5.059817851148405e-03	2.345896449878674e+02
0.017200000000000	3913.180973361520306	-385.409677644540535	5.286404423897414e-03	2.349343808252264e+02
0.017366666666667	3714.644384702129801	-366.128911556016636	5.519525478031444e-03	2.352804014930552e+02
0.017533333333333	3528.762035976526006	-348.067915473886340	5.759250291899047e-03	2.356277121897430e+02
0.017700000000000	3354.577275685516027	-331.134934817876542	6.005646685255513e-03	2.359763180601046e+02
0.017866666666667	3191.216401142532553	-315.246141658912857	6.258781029117249e-03	2.363262242091162e+02
0.018033333333333	3037.880591756630124	-300.324866049907533	6.518718256059957e-03	2.366774356899800e+02
0.018200000000000	2893.838707983005778	-286.300909667851860	6.785521872128803e-03	2.370299575165495e+02
0.018366666666667	2758.420854997991584	-273.109932162473945	7.059253969021018e-03	2.373837946513796e+02
0.018533333333333	2631.012622200144038	-260.692901798909208	7.339975237742050e-03	2.377389520166352e+02
0.018700000000000	2511.049921369691250	-248.995603049425218	7.627744982634800e-03	2.380954344899910e+02
0.018866666666667	2398.014355499788726	-237.968194686719411	7.922621136080204e-03	2.384532468999981e+02
0.019033333333333	2291.429058656187395	-227.564812720419761	8.224660274377904e-03	2.388123940376520e+02
0.019200000000000	2190.854954784404434	-217.743213212762924	8.533917633460079e-03	2.391728806441612e+02
0.019366666666667	2095.887389135822166	-208.464450590537099	8.850447125922983e-03	2.395347114221298e+02
0.019533333333333	2006.153091975292543	-199.692587604064206	9.174301358049201e-03	2.398978910314552e+02
0.019700000000000	1921.307438681315938	-191.394433527985117	9.505531647230294e-03	2.402624240849687e+02
0.019866666666667	1841.031974546938042	-183.539307595233069	9.844188040400950e-03	2.406283151600266e+02
0.020033333333333	1765.032176505781295	-176.098825009523220	1.019031933190347e-02	2.409955687861457e+02
0.020200000000000	1693.035426775176719	-169.046703173239792	1.054397308267108e-02	2.413641894581151e+02
0.020366666666667	1624.789176682591020	-162.358586047099328	1.090519563865768e-02	2.417341816240452e+02
0.020533333333333	1560.059280959086228	-156.011884779528585	1.127403215048220e-02	2.421055496967566e+02
0.020700000000000	1498.628485333780789	-149.985632960291703	1.165052659261150e-02	2.424782980494786e+02
0.020866666666667	1440.295051929269845	-144.260355027435169	1.203472178267620e-02	2.428524310117446e+02
0.021033333333333	1384.871508663362768	-138.817946517196438	1.242665940167894e-02	2.432279528809863e+02
0.021200000000000	1332.183510530459749	-133.641564992827923	1.282638001331747e-02	2.436048679134183e+02
0.021366666666667	1282.068801703196207	-128.715530606231110	1.323392308382199e-02	2.439831803246640e+02
0.021533333333333	1234.376268690352531	-124.025235360522840	1.364932700218623e-02	2.443628942965598e+02
0.021700000000000	1188.965075840461501	-119.557060240223680	1.407262910004003e-02	2.447440139762526e+02
0.021866666666667	1145.703875322377802	-115.298299460601399	1.450386567148303e-02	2.451265434748411e+02
0.022033333333333	1104.470084556063746	-111.237091165706399	1.494307199272886e-02	2.455104868635517e+02
