# E [MeV]	delta_l [deg]
0.1000	0.0002
0.1100	0.0005
0.1200	0.0010
0.1300	0.0018
0.1400	0.0033
0.1500	0.0056
0.1600	0.0090
0.1700	0.0140
0.1800	0.0209
0.1900	0.0304
0.2000	0.0429
0.2100	0.0592
0.2200	0.0799
0.2300	0.1060
0.2400	0.1383
0.2500	0.1779
0.2600	0.2258
0.2700	0.2832
0.2800	0.3515
0.2900	0.4320
0.3000	0.5263
0.3100	0.6362
0.3200	0.7635
0.3300	0.9102
0.3400	1.0786
0.3500	1.2713
0.3600	1.4909
0.3700	1.7406
0.3800	2.0239
0.3900	2.3445
0.4000	2.7067
0.4100	3.1156
0.4200	3.5765
0.4300	4.0959
0.4400	4.6808
0.4500	5.3395
0.4600	6.0814
0.4700	6.9175
0.4800	7.8603
0.4900	8.9245
0.5000	10.1269
0.5100	11.4874
0.5200	13.0288
0.5300	14.7776
0.5400	16.7643
0.5500	19.0235
0.5600	21.5941
0.5700	24.5184
0.5800	27.8400
0.5900	31.6013
0.6000	35.8368
0.6100	40.5657
0.6200	45.7808
0.6300	51.4374
0.6400	57.4460
0.6500	63.6731
0.6600	69.9540
0.6700	76.1158
0.6800	82.0035
0.6900	87.4998
0.7000	92.5328
0.7100	97.0735
0.7200	101.1262
0.7300	104.7171
0.7400	107.8845
0.7500	110.6717
0.7600	113.1222
0.7700	115.2770
0.7800	117.1731
0.7900	118.8438
0.8000	120.3176
0.8100	121.6197
0.8200	122.7714
0.8300	123.7914
0.8400	124.6955
0.8500	125.4974
0.8600	126.2089
0.8700	126.8401
0.8800	127.3998
0.8900	127.8958
0.9000	128.3346
0.9100	128.7221
0.9200	129.0634
0.9300	129.3630
0.9400	129.6248
0.9500	129.8523
0.9600	130.0486
0.9700	130.2165
0.9800	130.3584
0.9900	130.4766
1.0000	130.5730
1.0100	130.6494
1.0200	130.7074
1.0300	130.7484
1.0400	130.7737
1.0500	130.7846
1.0600	130.7821
1.0700	130.7671
1.0800	130.7407
1.0900	130.7035
1.1000	130.6564
1.1100	130.6001
1.1200	130.5351
1.1300	130.4620
1.1400	130.3815
1.1500	130.2939
1.1600	130.1997
1.1700	130.0995
1.1800	129.9935
1.1900	129.8821
1.2000	129.7656
1.2100	129.6445
1.2200	129.5188
1.2300	129.3891
1.2400	129.2554
1.2500	129.1181
1.2600	128.9773
1.2700	128.8332
1.2800	128.6861
1.2900	128.5362
1.3000	128.3836
1.3100	129.1702
1.3200	128.9850
1.3300	128.7982
1.3400	128.6100
1.3500	128.4205
1.3600	128.2296
1.3700	128.0376
1.3800	127.8445
1.3900	127.6503
1.4000	127.4552
1.4100	127.2592
1.4200	127.0623
1.4300	126.8647
1.4400	126.6664
1.4500	126.4675
1.4600	126.2679
1.4700	126.0678
1.4800	125.8672
1.4900	125.6661
1.5000	125.4647
1.5100	125.2628
1.5200	125.0606
1.5300	124.8581
1.5400	124.6554
1.5500	124.4524
1.5600	124.2492
1.5700	124.0458
1.5800	123.8423
1.5900	123.6387
1.6000	123.4349
1.6100	123.2312
1.6200	123.0273
1.6300	122.8235
1.6400	122.6196
1.6500	122.4157
1.6600	122.2119
1.6700	122.0082
1.6800	121.8045
1.6900	121.6009
1.7000	121.3974
1.7100	121.1940
1.7200	120.9908
1.7300	120.6494
1.7400	120.4602
1.7500	120.2710
1.7600	120.0819
1.7700	119.8929
1.7800	119.7039
1.7900	119.5150
1.8000	119.3262
1.8100	119.1376
1.8200	118.9490
1.8300	118.7606
1.8400	118.5723
1.8500	118.3841
1.8600	118.1962
1.8700	118.0084
1.8800	117.8207
1.8900	117.6333
1.9000	117.4461
1.9100	117.2591
1.9200	117.0723
1.9300	116.8857
1.9400	116.6993
1.9500	116.5132
1.9600	116.3273
1.9700	116.1417
1.9800	115.9563
1.9900	115.7712
2.0000	115.5863
2.0100	115.4018
2.0200	115.2174
2.0300	115.0334
2.0400	114.8497
2.0500	114.6662
