# E [MeV]	delta_l [deg]
0.1000	0.0003
0.1100	0.0008
0.1200	0.0016
0.1300	0.0032
0.1400	0.0057
0.1500	0.0098
0.1600	0.0159
0.1700	0.0249
0.1800	0.0376
0.1900	0.0551
0.2000	0.0786
0.2100	0.1096
0.2200	0.1499
0.2300	0.2014
0.2400	0.2664
0.2500	0.3476
0.2600	0.4482
0.2700	0.5716
0.2800	0.7222
0.2900	0.9051
0.3000	1.1260
0.3100	1.3922
0.3200	1.7122
0.3300	2.0965
0.3400	2.5580
0.3500	3.1129
0.3600	3.7813
0.3700	4.5893
0.3800	5.5707
0.3900	6.7701
0.4000	8.2476
0.4100	10.0853
0.4200	12.3979
0.4300	15.3480
0.4400	19.1700
0.4500	24.2008
0.4600	30.9116
0.4700	39.8941
0.4800	51.6676
0.4900	66.1121
0.5000	81.7967
0.5100	96.4344
0.5200	108.4694
0.5300	117.6825
0.5400	124.5645
0.5500	129.7128
0.5600	133.6114
0.5700	136.6087
0.5800	138.9466
0.5900	140.7935
0.6000	142.2674
0.6100	143.4528
0.6200	144.4115
0.6300	145.1889
0.6400	145.8197
0.6500	146.3303
0.6600	146.7412
0.6700	147.0686
0.6800	147.3256
0.6900	147.5225
0.7000	147.6680
0.7100	147.7691
0.7200	147.8315
0.7300	147.8603
0.7400	147.8595
0.7500	147.8326
0.7600	147.7826
0.7700	147.7121
0.7800	147.6233
0.7900	147.5182
0.8000	147.3985
0.8100	147.2656
0.8200	147.1208
0.8300	146.9653
0.8400	146.8000
0.8500	146.6260
0.8600	146.4441
0.8700	146.2548
0.8800	146.0590
0.8900	145.8572
0.9000	145.6499
0.9100	145.8814
0.9200	145.6404
0.9300	145.3961
0.9400	145.1489
0.9500	144.8989
0.9600	144.6465
0.9700	144.3918
0.9800	144.1351
0.9900	143.8766
1.0000	143.6165
1.0100	143.3548
1.0200	143.0918
1.0300	142.8276
1.0400	142.5623
1.0500	142.2960
1.0600	142.0290
1.0700	141.7612
1.0800	141.4927
1.0900	141.2237
1.1000	140.9542
1.1100	140.6844
1.1200	140.4142
1.1300	140.1438
1.1400	139.8732
1.1500	139.6024
1.1600	139.3316
1.1700	139.0608
1.1800	138.7900
1.1900	138.5193
1.2000	138.2487
1.2100	137.9782
1.2200	137.7080
1.2300	137.4380
1.2400	137.1682
1.2500	136.8987
1.2600	136.6296
1.2700	136.3608
1.2800	136.0924
1.2900	135.8244
1.3000	135.5568
1.3100	135.2896
1.3200	135.0229
1.3300	134.7567
1.3400	134.4910
1.3500	134.2258
1.3600	133.9611
1.3700	133.6970
1.3800	133.4334
1.3900	133.1704
1.4000	132.9079
1.4100	132.6461
1.4200	132.3848
1.4300	132.1242
1.4400	132.1732
1.4500	131.9237
1.4600	131.6747
1.4700	131.4262
1.4800	131.1784
1.4900	130.9311
1.5000	130.6844
1.5100	130.4383
1.5200	130.1929
1.5300	129.9480
1.5400	129.7038
1.5500	129.4601
1.5600	129.2171
1.5700	128.9748
1.5800	128.7330
1.5900	128.4919
1.6000	128.2515
1.6100	128.0116
1.6200	127.7725
1.6300	127.5339
1.6400	127.2961
1.6500	127.0588
1.6600	126.8223
1.6700	126.5863
1.6800	126.3511
1.6900	126.1164
1.7000	125.8825
1.7100	125.6492
1.7200	125.4165
1.7300	125.1845
1.7400	124.9532
1.7500	124.7225
1.7600	124.4925
1.7700	124.2631
1.7800	124.0344
1.7900	123.8063
1.8000	123.5789
1.8100	123.3521
1.8200	123.1260
1.8300	122.9006
1.8400	122.6758
1.8500	122.4516
1.8600	122.2281
1.8700	122.0052
1.8800	121.7830
1.8900	121.5614
1.9000	121.3404
1.9100	121.1201
1.9200	120.9004
1.9300	120.6814
1.9400	120.4630
1.9500	120.2452
1.9600	120.0281
1.9700	119.8116
1.9800	119.5957
1.9900	119.3804
2.0000	119.1657
2.0100	118.9517
2.0200	118.7383
2.0300	118.5255
2.0400	118.3133
2.0500	118.1017
