# E [MeV]	delta_0 [deg]
0.1000	0.0004
0.1100	0.0009
0.1200	0.0019
0.1300	0.0035
0.1400	0.0062
0.1500	0.0103
0.1600	0.0164
0.1700	0.0249
0.1800	0.0364
0.1900	0.0518
0.2000	0.0716
0.2100	0.0967
0.2200	0.1278
0.2300	0.1658
0.2400	0.2116
0.2500	0.2660
0.2600	0.3299
0.2700	0.4041
0.2800	0.4896
0.2900	0.5871
0.3000	0.6975
0.3100	0.8216
0.3200	0.9602
0.3300	1.1139
0.3400	1.2836
0.3500	1.4699
0.3600	1.6733
0.3700	1.8945
0.3800	2.1340
0.3900	2.3922
0.4000	2.6696
0.4100	2.9664
0.4200	3.2829
0.4300	3.6194
0.4400	3.9760
0.4500	4.3526
0.4600	4.7492
0.4700	5.1658
0.4800	5.6021
0.4900	6.0577
0.5000	6.5324
0.5100	7.0255
0.5200	7.8499
0.5300	8.4014
0.5400	8.9700
0.5500	9.5550
0.5600	10.1551
0.5700	10.7693
0.5800	11.3965
0.5900	12.0353
0.6000	12.6843
0.6100	13.3423
0.6200	14.0077
0.6300	14.6790
0.6400	15.3547
0.6500	16.0332
0.6600	16.7130
0.6700	17.3925
0.6800	18.0702
0.6900	18.7445
0.7000	19.4139
0.7100	20.0771
0.7200	20.7325
0.7300	21.3790
0.7400	22.0153
0.7500	22.6401
0.7600	23.2524
0.7700	23.8511
0.7800	24.4355
0.7900	25.0045
0.8000	25.5575
0.8100	26.0938
0.8200	26.6128
0.8300	27.1141
0.8400	27.5972
0.8500	28.0619
0.8600	28.5078
0.8700	28.9348
0.8800	29.3428
0.8900	29.7318
0.9000	30.1017
0.9100	30.4525
0.9200	30.7845
0.9300	31.0977
0.9400	31.3924
0.9500	31.6687
0.9600	31.9270
0.9700	32.1675
0.9800	32.3905
0.9900	32.5963
1.0000	32.7853
1.0100	32.9578
1.0200	33.1142
1.0300	33.2549
1.0400	33.3803
1.0500	33.4906
1.0600	33.5864
1.0700	33.6681
1.0800	32.8298
1.0900	32.8935
1.1000	32.9443
1.1100	32.9827
1.1200	33.0090
1.1300	33.0235
1.1400	33.0266
1.1500	33.0186
1.1600	32.9999
1.1700	32.9707
1.1800	32.9315
1.1900	32.8825
1.2000	32.8240
1.2100	32.7564
1.2200	32.6798
1.2300	32.5947
1.2400	32.5013
1.2500	32.3998
1.2600	32.2906
1.2700	32.1738
1.2800	32.0498
1.2900	31.9187
1.3000	31.7808
1.3100	31.6363
1.3200	31.4855
1.3300	31.3286
1.3400	31.1657
1.3500	30.9971
1.3600	30.8229
1.3700	30.6434
1.3800	30.4587
1.3900	30.2691
1.4000	30.0746
1.4100	29.8755
1.4200	29.6718
1.4300	29.4639
1.4400	29.2517
1.4500	29.0355
1.4600	28.8154
1.4700	28.5915
1.4800	28.3639
1.4900	28.1329
1.5000	27.8985
1.5100	27.6608
1.5200	27.4199
1.5300	27.1760
1.5400	26.9291
1.5500	26.6794
1.5600	26.4270
1.5700	26.1719
1.5800	25.9143
1.5900	25.6543
1.6000	25.3918
1.6100	25.1271
1.6200	24.8602
1.6300	24.5912
1.6400	24.3201
1.6500	24.0470
1.6600	23.7721
1.6700	23.4953
1.6800	23.2167
1.6900	22.9365
1.7000	22.6546
1.7100	22.3712
1.7200	22.0862
1.7300	21.7998
1.7400	21.5120
1.7500	21.2229
1.7600	20.9324
1.7700	20.6407
1.7800	20.3478
1.7900	20.0538
1.8000	19.7587
1.8100	19.4625
1.8200	19.1653
1.8300	18.8671
1.8400	18.5680
1.8500	18.2680
1.8600	17.9671
1.8700	17.6654
1.8800	17.3630
1.8900	17.0597
1.9000	16.7558
1.9100	16.4512
1.9200	16.1459
1.9300	15.8400
1.9400	15.5335
1.9500	15.2265
1.9600	14.9189
1.9700	14.6108
1.9800	14.3022
1.9900	13.9932
2.0000	13.6837
2.0100	13.3738
2.0200	13.0635
2.0300	12.7529
2.0400	12.4419
