# E [MeV]	delta_l [deg]
0.1000	0.0004
0.1100	0.0009
0.1200	0.0018
0.1300	0.0036
0.1400	0.0065
0.1500	0.0111
0.1600	0.0182
0.1700	0.0285
0.1800	0.0432
0.1900	0.0635
0.2000	0.0909
0.2100	0.1272
0.2200	0.1745
0.2300	0.2354
0.2400	0.3127
0.2500	0.4099
0.2600	0.5311
0.2700	0.6812
0.2800	0.8661
0.2900	1.0928
0.3000	1.3699
0.3100	1.7082
0.3200	2.1210
0.3300	2.6252
0.3400	3.2424
0.3500	4.0012
0.3600	4.9393
0.3700	6.1080
0.3800	7.5786
0.3900	9.4529
0.4000	11.8794
0.4100	15.0815
0.4200	19.4032
0.4300	25.3790
0.4400	33.8149
0.4500	45.7481
0.4600	61.8196
0.4700	80.6620
0.4800	98.5580
0.4900	112.6788
0.5000	122.8245
0.5100	133.2751
0.5200	137.5848
0.5300	140.7520
0.5400	143.1307
0.5500	144.9492
0.5600	146.3582
0.5700	147.4605
0.5800	148.3277
0.5900	149.0112
0.6000	149.5486
0.6100	149.9681
0.6200	150.2912
0.6300	150.5346
0.6400	150.7113
0.6500	150.8316
0.6600	150.9041
0.6700	150.9356
0.6800	150.9316
0.6900	150.8969
0.7000	150.8354
0.7100	150.7503
0.7200	150.6445
0.7300	150.5204
0.7400	150.3800
0.7500	150.2251
0.7600	150.0574
0.7700	149.8780
0.7800	149.6883
0.7900	149.4892
0.8000	149.2818
0.8100	149.0667
0.8200	148.8448
0.8300	148.6167
0.8400	148.3831
0.8500	148.1443
0.8600	147.9009
0.8700	147.6534
0.8800	147.4021
0.8900	147.1474
0.9000	146.8896
0.9100	146.6289
0.9200	146.3658
0.9300	146.1003
0.9400	145.8328
0.9500	145.5634
0.9600	145.2923
0.9700	145.0198
0.9800	144.7459
0.9900	144.4708
1.0000	144.1947
1.0100	143.9177
1.0200	143.6398
1.0300	143.3613
1.0400	143.0822
1.0500	142.8026
1.0600	142.5226
1.0700	142.2422
1.0800	142.3196
1.0900	142.0470
1.1000	141.7742
1.1100	141.5012
1.1200	141.2282
1.1300	140.9552
1.1400	140.6822
1.1500	140.4094
1.1600	140.1367
1.1700	139.8642
1.1800	139.5919
1.1900	139.3199
1.2000	139.0482
1.2100	138.7768
1.2200	138.5058
1.2300	138.2351
1.2400	137.9649
1.2500	137.6952
1.2600	137.4259
1.2700	137.1571
1.2800	136.8888
1.2900	136.6210
1.3000	136.3538
1.3100	136.0871
1.3200	135.8210
1.3300	135.5556
1.3400	135.2907
1.3500	135.0264
1.3600	134.7628
1.3700	134.4998
1.3800	134.2375
1.3900	133.9758
1.4000	133.7148
1.4100	133.4544
1.4200	133.1948
1.4300	132.9358
1.4400	132.6776
1.4500	132.4200
1.4600	132.1632
1.4700	131.9070
1.4800	131.6516
1.4900	131.3969
1.5000	131.1429
1.5100	130.8897
1.5200	130.6372
1.5300	130.3854
1.5400	130.1344
1.5500	129.8840
1.5600	129.6345
1.5700	129.3856
1.5800	129.1376
1.5900	128.8902
1.6000	128.6436
1.6100	128.3977
1.6200	128.1526
1.6300	127.9082
1.6400	127.6646
1.6500	127.4217
1.6600	127.1795
1.6700	126.9381
1.6800	126.6975
1.6900	126.4575
1.7000	126.2183
1.7100	125.9799
1.7200	125.7422
1.7300	125.5052
1.7400	125.2689
1.7500	125.0334
1.7600	124.7986
1.7700	124.5645
1.7800	124.3312
1.7900	124.0986
1.8000	123.8667
1.8100	123.6355
1.8200	123.4050
1.8300	123.1753
1.8400	122.9462
1.8500	122.7179
1.8600	122.4903
1.8700	122.2634
1.8800	122.0372
1.8900	121.8117
1.9000	121.5868
1.9100	121.3627
1.9200	121.1393
1.9300	120.9166
1.9400	120.6945
1.9500	120.4731
1.9600	120.2525
1.9700	120.0325
1.9800	119.8131
1.9900	119.5945
2.0000	119.3765
2.0100	119.1592
2.0200	118.9425
2.0300	118.7265
2.0400	118.5112
2.0500	118.2965
