ASTAR: Stopping Powers and Range Tables for Alpha Particles

AIR (dry, near sea level)                                               

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-03 5.377E-06 
1.500E-03 7.562E-06 
2.000E-03 9.651E-06 
2.500E-03 1.166E-05 
3.000E-03 1.360E-05 
4.000E-03 1.730E-05 
5.000E-03 2.079E-05 
6.000E-03 2.411E-05 
7.000E-03 2.728E-05 
8.000E-03 3.032E-05 
9.000E-03 3.324E-05 
1.000E-02 3.605E-05 
1.250E-02 4.266E-05 
1.500E-02 4.879E-05 
1.750E-02 5.452E-05 
2.000E-02 5.992E-05 
2.250E-02 6.503E-05 
2.500E-02 6.989E-05 
2.750E-02 7.454E-05 
3.000E-02 7.900E-05 
3.500E-02 8.743E-05 
4.000E-02 9.530E-05 
4.500E-02 1.027E-04 
5.000E-02 1.097E-04 
5.500E-02 1.164E-04 
6.000E-02 1.228E-04 
6.500E-02 1.289E-04 
7.000E-02 1.348E-04 
7.500E-02 1.405E-04 
8.000E-02 1.460E-04 
8.500E-02 1.513E-04 
9.000E-02 1.565E-04 
9.500E-02 1.616E-04 
1.000E-01 1.665E-04 
1.250E-01 1.894E-04 
1.500E-01 2.101E-04 
1.750E-01 2.293E-04 
2.000E-01 2.472E-04 
2.250E-01 2.642E-04 
2.500E-01 2.803E-04 
2.750E-01 2.958E-04 
3.000E-01 3.108E-04 
3.500E-01 3.394E-04 
4.000E-01 3.667E-04 
4.500E-01 3.931E-04 
5.000E-01 4.188E-04 
5.500E-01 4.441E-04 
6.000E-01 4.690E-04 
6.500E-01 4.938E-04 
7.000E-01 5.186E-04 
7.500E-01 5.433E-04 
8.000E-01 5.682E-04 
8.500E-01 5.932E-04 
9.000E-01 6.185E-04 
9.500E-01 6.440E-04 
1.000E+00 6.698E-04 
1.250E+00 8.049E-04 
1.500E+00 9.520E-04 
1.750E+00 1.112E-03 
2.000E+00 1.287E-03 
2.250E+00 1.474E-03 
2.500E+00 1.675E-03 
2.750E+00 1.889E-03 
3.000E+00 2.116E-03 
3.500E+00 2.607E-03 
4.000E+00 3.147E-03 
4.500E+00 3.734E-03 
5.000E+00 4.368E-03 
5.500E+00 5.048E-03 
6.000E+00 5.772E-03 
6.500E+00 6.540E-03 
7.000E+00 7.351E-03 
7.500E+00 8.205E-03 
8.000E+00 9.100E-03 
8.500E+00 1.004E-02 
9.000E+00 1.102E-02 
9.500E+00 1.203E-02 
1.000E+01 1.309E-02 
1.250E+01 1.897E-02 
1.500E+01 2.581E-02 
1.750E+01 3.356E-02 
2.000E+01 4.222E-02 
2.500E+01 6.214E-02 
2.750E+01 7.338E-02 
3.000E+01 8.546E-02 
3.500E+01 1.121E-01 
4.000E+01 1.419E-01 
4.500E+01 1.748E-01 
5.000E+01 2.108E-01 
5.500E+01 2.498E-01 
6.000E+01 2.918E-01 
6.500E+01 3.367E-01 
7.000E+01 3.845E-01 
7.500E+01 4.351E-01 
8.000E+01 4.885E-01 
8.500E+01 5.447E-01 
9.000E+01 6.036E-01 
9.500E+01 6.652E-01 
1.000E+02 7.295E-01 
1.250E+02 1.090E+00 
1.500E+02 1.514E+00 
1.750E+02 1.999E+00 
2.000E+02 2.543E+00 
2.250E+02 3.143E+00 
2.500E+02 3.798E+00 
2.750E+02 4.506E+00 
3.000E+02 5.265E+00 
3.500E+02 6.933E+00 
4.000E+02 8.791E+00 
4.500E+02 1.083E+01 
5.000E+02 1.304E+01 
5.500E+02 1.542E+01 
6.000E+02 1.795E+01 
6.500E+02 2.063E+01 
7.000E+02 2.345E+01 
7.500E+02 2.642E+01 
8.000E+02 2.951E+01 
8.500E+02 3.273E+01 
9.000E+02 3.607E+01 
9.500E+02 3.953E+01 
1.000E+03 4.310E+01 
