ASTAR: Stopping Powers and Range Tables for Alpha Particles

GOLD                                                                    

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-03 9.597E-05 
1.500E-03 1.220E-04 
2.000E-03 1.444E-04 
2.500E-03 1.642E-04 
3.000E-03 1.823E-04 
4.000E-03 2.147E-04 
5.000E-03 2.435E-04 
6.000E-03 2.697E-04 
7.000E-03 2.938E-04 
8.000E-03 3.164E-04 
9.000E-03 3.376E-04 
1.000E-02 3.578E-04 
1.250E-02 4.042E-04 
1.500E-02 4.462E-04 
1.750E-02 4.848E-04 
2.000E-02 5.208E-04 
2.250E-02 5.545E-04 
2.500E-02 5.863E-04 
2.750E-02 6.166E-04 
3.000E-02 6.455E-04 
3.500E-02 6.996E-04 
4.000E-02 7.499E-04 
4.500E-02 7.969E-04 
5.000E-02 8.412E-04 
5.500E-02 8.832E-04 
6.000E-02 9.232E-04 
6.500E-02 9.614E-04 
7.000E-02 9.981E-04 
7.500E-02 1.033E-03 
8.000E-02 1.068E-03 
8.500E-02 1.100E-03 
9.000E-02 1.132E-03 
9.500E-02 1.163E-03 
1.000E-01 1.193E-03 
1.250E-01 1.333E-03 
1.500E-01 1.459E-03 
1.750E-01 1.574E-03 
2.000E-01 1.680E-03 
2.250E-01 1.781E-03 
2.500E-01 1.876E-03 
2.750E-01 1.966E-03 
3.000E-01 2.053E-03 
3.500E-01 2.218E-03 
4.000E-01 2.373E-03 
4.500E-01 2.521E-03 
5.000E-01 2.664E-03 
5.500E-01 2.803E-03 
6.000E-01 2.938E-03 
6.500E-01 3.071E-03 
7.000E-01 3.203E-03 
7.500E-01 3.332E-03 
8.000E-01 3.461E-03 
8.500E-01 3.590E-03 
9.000E-01 3.718E-03 
9.500E-01 3.846E-03 
1.000E+00 3.974E-03 
1.250E+00 4.619E-03 
1.500E+00 5.275E-03 
1.750E+00 5.951E-03 
2.000E+00 6.655E-03 
2.250E+00 7.392E-03 
2.500E+00 8.165E-03 
2.750E+00 8.970E-03 
3.000E+00 9.807E-03 
3.500E+00 1.157E-02 
4.000E+00 1.345E-02 
4.500E+00 1.543E-02 
5.000E+00 1.752E-02 
5.500E+00 1.971E-02 
6.000E+00 2.200E-02 
6.500E+00 2.438E-02 
7.000E+00 2.685E-02 
7.500E+00 2.942E-02 
8.000E+00 3.207E-02 
8.500E+00 3.480E-02 
9.000E+00 3.762E-02 
9.500E+00 4.053E-02 
1.000E+01 4.352E-02 
1.250E+01 5.965E-02 
1.500E+01 7.768E-02 
1.750E+01 9.753E-02 
2.000E+01 1.191E-01 
2.500E+01 1.673E-01 
2.750E+01 1.938E-01 
3.000E+01 2.218E-01 
3.500E+01 2.825E-01 
4.000E+01 3.489E-01 
4.500E+01 4.211E-01 
5.000E+01 4.987E-01 
5.500E+01 5.818E-01 
6.000E+01 6.701E-01 
6.500E+01 7.635E-01 
7.000E+01 8.620E-01 
7.500E+01 9.655E-01 
8.000E+01 1.074E+00 
8.500E+01 1.187E+00 
9.000E+01 1.305E+00 
9.500E+01 1.428E+00 
1.000E+02 1.555E+00 
1.250E+02 2.258E+00 
1.500E+02 3.070E+00 
1.750E+02 3.985E+00 
2.000E+02 4.999E+00 
2.250E+02 6.107E+00 
2.500E+02 7.308E+00 
2.750E+02 8.596E+00 
3.000E+02 9.971E+00 
3.500E+02 1.297E+01 
4.000E+02 1.628E+01 
4.500E+02 1.988E+01 
5.000E+02 2.377E+01 
5.500E+02 2.792E+01 
6.000E+02 3.233E+01 
6.500E+02 3.698E+01 
7.000E+02 4.186E+01 
7.500E+02 4.697E+01 
8.000E+02 5.228E+01 
8.500E+02 5.780E+01 
9.000E+02 6.351E+01 
9.500E+02 6.941E+01 
1.000E+03 7.549E+01 
