# State 2   Energy = 5.29771 eV
#   x(Å)    psi    prob=psi^2
-5 0 0
-4.9 0.0292565 0.00085594
-4.8 0.058567 0.0034301
-4.7 0.0879487 0.00773497
-4.6 0.117382 0.0137786
-4.5 0.146813 0.0215542
-4.4 0.176154 0.0310302
-4.3 0.205283 0.042141
-4.2 0.234048 0.0547784
-4.1 0.262268 0.0687843
-4 0.289734 0.0839455
-3.9 0.316213 0.0999904
-3.8 0.341451 0.116589
-3.7 0.365176 0.133354
-3.6 0.387104 0.14985
-3.5 0.406942 0.165602
-3.4 0.424392 0.180108
-3.3 0.43916 0.192862
-3.2 0.45096 0.203365
-3.1 0.459519 0.211158
-3 0.464587 0.215841
-2.9 0.465938 0.217098
-2.8 0.463381 0.214722
-2.7 0.456765 0.208635
-2.6 0.445983 0.198901
-2.5 0.430978 0.185742
-2.4 0.411748 0.169536
-2.3 0.388348 0.150814
-2.2 0.360897 0.130246
-2.1 0.329573 0.108618
-2 0.294621 0.0868014
-1.9 0.256345 0.0657127
-1.8 0.215112 0.0462731
-1.7 0.171345 0.0293592
-1.6 0.125521 0.0157555
-1.5 0.0781619 0.00610928
-1.4 0.0298316 0.000889925
-1.3 -0.0188751 0.000356271
-1.2 -0.0673404 0.00453472
-1.1 -0.114933 0.0132096
-1 -0.161018 0.0259269
-0.9 -0.204971 0.042013
-0.8 -0.246182 0.0606056
-0.7 -0.284073 0.0806977
-0.6 -0.318106 0.101192
-0.5 -0.347791 0.120959
-0.4 -0.372697 0.138903
-0.3 -0.392459 0.154024
-0.2 -0.406788 0.165477
-0.1 -0.415471 0.172616
0 -0.41838 0.175042
0.1 -0.415471 0.172616
0.2 -0.406788 0.165477
0.3 -0.392459 0.154024
0.4 -0.372697 0.138903
0.5 -0.347791 0.120959
0.6 -0.318106 0.101192
0.7 -0.284073 0.0806977
0.8 -0.246182 0.0606056
0.9 -0.204971 0.042013
1 -0.161018 0.0259269
1.1 -0.114933 0.0132096
1.2 -0.0673404 0.00453472
1.3 -0.0188751 0.000356271
1.4 0.0298316 0.000889925
1.5 0.0781619 0.00610928
1.6 0.125521 0.0157555
1.7 0.171345 0.0293592
1.8 0.215112 0.0462731
1.9 0.256345 0.0657127
2 0.294621 0.0868014
2.1 0.329573 0.108618
2.2 0.360897 0.130246
2.3 0.388348 0.150814
2.4 0.411748 0.169536
2.5 0.430978 0.185742
2.6 0.445983 0.198901
2.7 0.456765 0.208635
2.8 0.463381 0.214722
2.9 0.465938 0.217098
3 0.464587 0.215841
3.1 0.459519 0.211158
3.2 0.45096 0.203365
3.3 0.43916 0.192862
3.4 0.424392 0.180108
3.5 0.406942 0.165602
3.6 0.387104 0.14985
3.7 0.365176 0.133354
3.8 0.341451 0.116589
3.9 0.316213 0.0999904
4 0.289734 0.0839455
4.1 0.262268 0.0687843
4.2 0.234048 0.0547784
4.3 0.205283 0.042141
4.4 0.176154 0.0310302
4.5 0.146813 0.0215542
4.6 0.117382 0.0137786
4.7 0.0879487 0.00773497
4.8 0.058567 0.0034301
4.9 0.0292565 0.00085594
5 0 0
