# E_lab [MeV]	delta_real [deg]	delta_imag [deg]	cross_section [mb]	S_factor [MeV*mb]
0.0167	0.0005	0.0000	0.0007	0.3640
0.0333	0.0113	0.0000	0.0086	0.3669
0.0500	0.0462	0.0002	0.0236	0.3704
0.0667	0.1075	0.0004	0.0415	0.3745
0.0833	0.1920	0.0008	0.0595	0.3789
0.1000	0.2953	0.0012	0.0765	0.3835
0.1167	0.4135	0.0017	0.0922	0.3882
0.1333	0.5434	0.0022	0.1064	0.3931
0.1500	0.6826	0.0028	0.1192	0.3979
0.1667	0.8290	0.0034	0.1307	0.4028
0.1833	0.9811	0.0041	0.1411	0.4077
0.2000	1.1375	0.0047	0.1504	0.4125
0.2167	1.2974	0.0054	0.1588	0.4173
0.2333	1.4599	0.0061	0.1664	0.4220
0.2500	1.6244	0.0068	0.1732	0.4267
0.2667	1.7904	0.0075	0.1794	0.4314
0.2833	1.9574	0.0082	0.1850	0.4359
0.3000	2.1251	0.0090	0.1901	0.4404
0.3167	2.2932	0.0097	0.1948	0.4449
0.3333	2.4615	0.0104	0.1990	0.4493
0.3500	2.6298	0.0112	0.2028	0.4536
0.3667	2.7979	0.0119	0.2064	0.4578
0.3833	2.9657	0.0126	0.2096	0.4620
0.4000	3.1331	0.0134	0.2125	0.4662
0.4167	3.2999	0.0141	0.2152	0.4703
0.4333	3.4662	0.0148	0.2177	0.4743
0.4500	3.6317	0.0156	0.2199	0.4782
0.4667	3.7966	0.0163	0.2220	0.4821
0.4833	3.9607	0.0170	0.2239	0.4860
0.5000	4.1239	0.0177	0.2256	0.4897
0.5167	4.2863	0.0184	0.2272	0.4935
0.5333	4.4479	0.0192	0.2286	0.4971
0.5500	4.6085	0.0199	0.2299	0.5008
0.5667	4.7683	0.0206	0.2311	0.5043
0.5833	4.9271	0.0213	0.2322	0.5078
0.6000	5.0850	0.0220	0.2332	0.5113
0.6167	5.2420	0.0227	0.2341	0.5147
0.6333	5.3980	0.0234	0.2349	0.5181
0.6500	5.5530	0.0241	0.2357	0.5214
0.6667	5.7071	0.0248	0.2363	0.5247
0.6833	5.8603	0.0254	0.2369	0.5279
0.7000	6.0125	0.0261	0.2374	0.5311
0.7167	6.1638	0.0268	0.2379	0.5342
0.7333	6.3141	0.0275	0.2383	0.5373
0.7500	6.4634	0.0281	0.2386	0.5404
0.7667	6.6118	0.0288	0.2389	0.5434
0.7833	6.7593	0.0295	0.2392	0.5463
0.8000	6.9059	0.0301	0.2394	0.5493
0.8167	7.0515	0.0308	0.2395	0.5521
0.8333	7.1962	0.0314	0.2396	0.5550
0.8500	7.3400	0.0320	0.2397	0.5578
0.8667	7.4829	0.0327	0.2398	0.5606
0.8833	7.6250	0.0333	0.2398	0.5633
0.9000	7.7661	0.0339	0.2398	0.5660
0.9167	7.9063	0.0346	0.2397	0.5686
0.9333	8.0457	0.0352	0.2396	0.5713
0.9500	8.1841	0.0358	0.2395	0.5738
0.9667	8.3218	0.0364	0.2394	0.5764
0.9833	8.4585	0.0370	0.2393	0.5789
1.0000	8.5945	0.0376	0.2391	0.5814
1.0167	8.7295	0.0382	0.2389	0.5839
1.0333	8.8638	0.0388	0.2387	0.5863
1.0500	8.9972	0.0394	0.2385	0.5887
1.0667	9.1298	0.0400	0.2382	0.5910
1.0833	9.2617	0.0405	0.2379	0.5933
1.1000	9.3927	0.0411	0.2377	0.5956
1.1167	9.5229	0.0417	0.2374	0.5979
1.1333	9.6523	0.0423	0.2370	0.6001
1.1500	9.7810	0.0428	0.2367	0.6023
1.1667	9.9088	0.0434	0.2364	0.6045
