# E_lab [MeV]	delta_real [deg]	delta_imag [deg]	cross_section [mb]	S_factor [MeV*mb]
0.1667	0.8291	0.0034	130.7413	0.4028
0.1833	0.9812	0.0041	141.0944	0.4077
0.2000	1.1377	0.0047	150.4066	0.4125
0.2167	1.2976	0.0054	158.7942	0.4173
0.2333	1.4601	0.0061	166.3617	0.4220
0.2500	1.6246	0.0068	173.2015	0.4267
0.2667	1.7906	0.0075	179.3946	0.4314
0.2833	1.9576	0.0082	185.0117	0.4359
0.3000	2.1253	0.0090	190.1144	0.4404
0.3167	2.2935	0.0097	194.7568	0.4449
0.3333	2.4618	0.0104	198.9859	0.4493
0.3500	2.6301	0.0112	202.8429	0.4536
0.3667	2.7982	0.0119	206.3642	0.4579
0.3833	2.9660	0.0126	209.5816	0.4621
0.4000	3.1334	0.0134	212.5235	0.4662
0.4167	3.3003	0.0141	215.2148	0.4703
0.4333	3.4665	0.0148	217.6776	0.4743
0.4500	3.6321	0.0156	219.9318	0.4782
0.4667	3.7969	0.0163	221.9950	0.4821
0.4833	3.9610	0.0170	223.8831	0.4860
0.5000	4.1243	0.0177	225.6101	0.4898
0.5167	4.2867	0.0184	227.1890	0.4935
0.5333	4.4483	0.0192	228.6312	0.4972
0.5500	4.6089	0.0199	229.9471	0.5008
0.5667	4.7687	0.0206	231.1462	0.5043
0.5833	4.9275	0.0213	232.2371	0.5079
0.6000	5.0854	0.0220	233.2276	0.5113
0.6167	5.2424	0.0227	234.1247	0.5147
0.6333	5.3984	0.0234	234.9350	0.5181
0.6500	5.5535	0.0241	235.6644	0.5214
0.6667	5.7076	0.0248	236.3184	0.5247
0.6833	5.8607	0.0254	236.9019	0.5279
0.7000	6.0129	0.0261	237.4196	0.5311
0.7167	6.1642	0.0268	237.8758	0.5342
0.7333	6.3145	0.0275	238.2742	0.5373
0.7500	6.4639	0.0281	238.6186	0.5404
0.7667	6.6123	0.0288	238.9123	0.5434
0.7833	6.7598	0.0295	239.1584	0.5463
0.8000	6.9063	0.0301	239.3597	0.5493
0.8167	7.0520	0.0308	239.5189	0.5522
0.8333	7.1967	0.0314	239.6385	0.5550
0.8500	7.3405	0.0320	239.7208	0.5578
0.8667	7.4834	0.0327	239.7680	0.5606
0.8833	7.6254	0.0333	239.7820	0.5633
0.9000	7.7665	0.0339	239.7648	0.5660
0.9167	7.9067	0.0346	239.7180	0.5687
0.9333	8.0460	0.0352	239.6434	0.5713
0.9500	8.1845	0.0358	239.5425	0.5739
0.9667	8.3221	0.0364	239.4166	0.5764
0.9833	8.4589	0.0370	239.2672	0.5789
1.0000	8.5948	0.0376	239.0956	0.5814
1.0167	8.7299	0.0382	238.9028	0.5839
1.0333	8.8641	0.0388	238.6901	0.5863
1.0500	8.9976	0.0394	238.4585	0.5887
1.0667	9.1302	0.0400	238.2090	0.5910
1.0833	9.2620	0.0405	237.9425	0.5933
1.1000	9.3930	0.0411	237.6600	0.5956
1.1167	9.5232	0.0417	237.3622	0.5979
1.1333	9.6526	0.0423	237.0499	0.6001
1.1500	9.7812	0.0428	236.7239	0.6023
1.1667	9.9091	0.0434	236.3850	0.6045
1.1833	10.0362	0.0439	236.0337	0.6066
1.2000	10.1625	0.0445	235.6707	0.6088
1.2167	10.2881	0.0450	235.2966	0.6108
1.2333	10.4130	0.0456	234.9120	0.6129
1.2500	10.5371	0.0461	234.5174	0.6149
1.2667	10.6605	0.0467	234.1133	0.6169
1.2833	10.7831	0.0472	233.7003	0.6189
1.3000	10.9051	0.0477	233.2787	0.6209
1.3167	11.0263	0.0482	232.8490	0.6228
1.3333	11.1469	0.0488	232.4117	0.6247
1.3500	11.2667	0.0493	231.9671	0.6266
1.3667	11.3858	0.0498	231.5156	0.6284
1.3833	11.5043	0.0503	231.0577	0.6303
1.4000	11.6221	0.0508	230.5935	0.6321
1.4167	11.7392	0.0513	230.1235	0.6339
1.4333	11.8557	0.0518	229.6479	0.6356
1.4500	11.9715	0.0523	229.1671	0.6374
1.4667	12.0866	0.0528	228.6814	0.6391
1.4833	12.2011	0.0533	228.1909	0.6408
1.5000	12.3149	0.0537	227.6961	0.6424
1.5167	12.4281	0.0542	227.1971	0.6441
1.5333	12.5407	0.0547	226.6941	0.6457
1.5500	12.6527	0.0552	226.1874	0.6473
1.5667	12.7640	0.0556	225.6773	0.6489
1.5833	12.8748	0.0561	225.1639	0.6505
1.6000	12.9849	0.0566	224.6473	0.6520
1.6167	13.0944	0.0570	224.1279	0.6535
1.6333	13.2033	0.0575	223.6058	0.6550
1.6500	13.3116	0.0579	223.0811	0.6565
1.6667	13.4194	0.0584	222.5541	0.6580
