# E [MeV]	delta_0 [deg]
0.1000	-0.0055
0.1500	-0.0618
0.2000	-0.2615
0.2500	-0.6978
0.3000	-1.4368
0.3500	-2.5110
0.4000	-3.9210
0.4500	-5.6389
0.5000	-7.6121
0.5500	-9.7697
0.6000	-12.0292
0.6500	-14.3055
0.7000	-16.5193
0.7500	-18.6039
0.8000	-20.5085
0.8500	-22.2000
0.9000	-23.6607
0.9500	-26.8195
1.0000	-27.8012
1.0500	-28.5448
1.1000	-27.2327
1.1500	-27.6217
1.2000	-27.8436
1.2500	-27.9161
1.3000	-27.8558
1.3500	-27.6781
1.4000	-27.3970
1.4500	-27.0250
1.5000	-26.5732
1.5500	-26.0517
1.6000	-25.4691
1.6500	-24.8332
1.7000	-24.1506
1.7500	-23.4273
1.8000	-22.6686
1.8500	-21.8791
1.9000	-21.0627
1.9500	-20.2231
2.0000	-19.3634
2.0500	-18.4862
2.1000	-17.5942
2.1500	-16.6893
2.2000	-15.7736
2.2500	-14.8486
2.3000	-13.9160
2.3500	-12.9769
2.4000	-12.0326
2.4500	-11.0842
2.5000	-10.1325
2.5500	-9.1784
2.6000	-8.2226
2.6500	-7.2657
2.7000	-6.3084
2.7500	-5.3512
2.8000	-4.3945
2.8500	-3.4387
2.9000	-2.4843
2.9500	-1.5315
3.0000	-0.5806
3.0500	0.3681
3.1000	1.3144
3.1500	2.2581
3.2000	3.1990
3.2500	4.1369
3.3000	5.0717
3.3500	6.0033
3.4000	6.9316
3.4500	7.8565
3.5000	8.7778
3.5500	9.6956
3.6000	10.6098
3.6500	11.5202
3.7000	12.4269
3.7500	13.3299
3.8000	14.2291
3.8500	15.1244
3.9000	16.0159
3.9500	16.9036
4.0000	17.7874
4.0500	18.6674
4.1000	19.5435
4.1500	20.4157
4.2000	21.2841
4.2500	22.1486
4.3000	23.0093
4.3500	23.8662
4.4000	24.7193
4.4500	25.5686
4.5000	26.4141
4.5500	27.2559
4.6000	28.0939
4.6500	28.9283
4.7000	29.7589
4.7500	30.5859
4.8000	31.4093
4.8500	32.2290
4.9000	33.0452
4.9500	33.8578
5.0000	34.6669
5.0500	35.4725
5.1000	36.2746
5.1500	37.0732
5.2000	37.8685
5.2500	38.6603
5.3000	39.4488
5.3500	40.2339
5.4000	41.0157
5.4500	41.7943
5.5000	42.5696
5.5500	43.3416
5.6000	44.1105
5.6500	44.8762
5.7000	45.6388
5.7500	46.3982
5.8000	47.1546
5.8500	47.9079
5.9000	48.6582
5.9500	49.4054
6.0000	50.1497
6.0500	50.8910
6.1000	51.6294
6.1500	52.3649
6.2000	53.0975
6.2500	53.8273
6.3000	54.5543
6.3500	55.2784
6.4000	55.9998
6.4500	56.7184
6.5000	57.4343
6.5500	58.1475
6.6000	58.8580
6.6500	59.5658
6.7000	60.2710
6.7500	60.9736
6.8000	61.6736
6.8500	62.3711
6.9000	63.0660
6.9500	63.7584
7.0000	64.4483
7.0500	65.1357
7.1000	65.8206
7.1500	66.5031
7.2000	67.1832
7.2500	67.8609
7.3000	68.5362
7.3500	69.2091
7.4000	69.8797
7.4500	70.5480
7.5000	71.2140
7.5500	71.8777
7.6000	72.5391
7.6500	73.1983
7.7000	73.8553
7.7500	74.5100
7.8000	75.1626
7.8500	75.8130
7.9000	76.4612
7.9500	77.1073
8.0000	77.7512
8.0500	78.3931
8.1000	79.0328
8.1500	79.6705
8.2000	80.3061
8.2500	80.9397
8.3000	81.5712
8.3500	82.2007
8.4000	82.8283
8.4500	83.4538
8.5000	84.0774
8.5500	84.6990
8.6000	85.3186
8.6500	85.9363
8.7000	86.5522
8.7500	87.1661
8.8000	87.7781
8.8500	88.3882
8.9000	88.9965
8.9500	89.6030
9.0000	-89.7925
9.0500	-89.1897
9.1000	-88.5887
9.1500	-87.9896
9.2000	-87.3922
9.2500	-86.7966
9.3000	-86.2028
9.3500	-85.6107
9.4000	-85.0204
9.4500	-84.4318
9.5000	-83.8450
9.5500	-83.2598
9.6000	-82.6763
9.6500	-82.0946
9.7000	-81.5145
9.7500	-80.9361
9.8000	-80.3593
9.8500	-79.7842
9.9000	-79.2107
9.9500	-78.6389
