# r [fm]	V(r) [MeV]	V_N(r)	V_C(r)
0.1000	12.7012	-73.6988	86.4000
0.2000	-30.1962	-73.3962	43.2000
0.3000	-44.0945	-72.8945	28.8000
0.4000	-50.5979	-72.1979	21.6000
0.5000	-54.0320	-71.3120	17.2800
0.6000	-55.8441	-70.2441	14.4000
0.7000	-56.6597	-69.0025	12.3429
0.8000	-56.7972	-67.5972	10.8000
0.9000	-56.4391	-66.0391	9.6000
1.0000	-55.7002	-64.3402	8.6400
1.1000	-54.6587	-62.5132	7.8545
1.2000	-53.3717	-60.5717	7.2000
1.3000	-51.8835	-58.5297	6.6462
1.4000	-50.2302	-56.4016	6.1714
1.5000	-48.4419	-54.2019	5.7600
1.6000	-46.5454	-51.9454	5.4000
1.7000	-44.5640	-49.6464	5.0824
1.8000	-42.5191	-47.3191	4.8000
1.9000	-40.4300	-44.9774	4.5474
2.0000	-38.3144	-42.6344	4.3200
2.1000	-36.1885	-40.3028	4.1143
2.2000	-34.0670	-37.9943	3.9273
2.3000	-31.9633	-35.7199	3.7565
2.4000	-29.8896	-33.4896	3.6000
2.5000	-27.8566	-31.3126	3.4560
2.6000	-25.8738	-29.1969	3.3231
2.7000	-23.9495	-27.1495	3.2000
2.8000	-22.0908	-25.1765	3.0857
2.9000	-20.3037	-23.2830	2.9793
3.0000	-18.5929	-21.4729	2.8800
3.1000	-16.9621	-19.7492	2.7871
3.2000	-15.4142	-18.1142	2.7000
3.3000	-13.9508	-16.5690	2.6182
3.4000	-12.5729	-15.1141	2.5412
3.5000	-11.2805	-13.7491	2.4686
3.6000	-10.0732	-12.4732	2.4000
3.7000	-8.9495	-11.2847	2.3351
3.8000	-7.9077	-10.1814	2.2737
3.9000	-6.9455	-9.1609	2.2154
4.0000	-6.0600	-8.2200	2.1600
4.1000	-5.2483	-7.3556	2.1073
4.2000	-4.5069	-6.5640	2.0571
4.3000	-3.8323	-5.8416	2.0093
4.4000	-3.2208	-5.1845	1.9636
4.5000	-2.6686	-4.5886	1.9200
4.6000	-2.1719	-4.0501	1.8783
4.7000	-1.7268	-3.5651	1.8383
4.8000	-1.3295	-3.1295	1.8000
4.9000	-0.9763	-2.7396	1.7633
5.0000	-0.6637	-2.3917	1.7280
5.1000	-0.3881	-2.0823	1.6941
5.2000	-0.1464	-1.8079	1.6615
5.3000	0.0648	-1.5654	1.6302
5.4000	0.2483	-1.3517	1.6000
5.5000	0.4069	-1.1640	1.5709
5.6000	0.5433	-0.9996	1.5429
5.7000	0.6597	-0.8560	1.5158
5.8000	0.7585	-0.7311	1.4897
5.9000	0.8417	-0.6227	1.4644
6.0000	0.9111	-0.5289	1.4400
6.1000	0.9684	-0.4480	1.4164
6.2000	1.0151	-0.3785	1.3935
6.3000	1.0526	-0.3188	1.3714
6.4000	1.0821	-0.2679	1.3500
6.5000	1.1048	-0.2244	1.3292
6.6000	1.1216	-0.1875	1.3091
6.7000	1.1333	-0.1562	1.2896
6.8000	1.1408	-0.1298	1.2706
6.9000	1.1446	-0.1076	1.2522
7.0000	1.1454	-0.0889	1.2343
7.1000	1.1436	-0.0733	1.2169
7.2000	1.1398	-0.0602	1.2000
7.3000	1.1342	-0.0494	1.1836
7.4000	1.1272	-0.0403	1.1676
7.5000	1.1191	-0.0329	1.1520
7.6000	1.1101	-0.0267	1.1368
7.7000	1.1004	-0.0217	1.1221
7.8000	1.0902	-0.0175	1.1077
7.9000	1.0795	-0.0141	1.0937
8.0000	1.0686	-0.0114	1.0800
8.1000	1.0576	-0.0091	1.0667
8.2000	1.0464	-0.0073	1.0537
8.3000	1.0352	-0.0058	1.0410
8.4000	1.0240	-0.0046	1.0286
8.5000	1.0128	-0.0037	1.0165
8.6000	1.0018	-0.0029	1.0047
8.7000	0.9908	-0.0023	0.9931
8.8000	0.9800	-0.0018	0.9818
8.9000	0.9694	-0.0014	0.9708
9.0000	0.9589	-0.0011	0.9600
9.1000	0.9486	-0.0009	0.9495
9.2000	0.9385	-0.0007	0.9391
9.3000	0.9285	-0.0005	0.9290
9.4000	0.9187	-0.0004	0.9191
9.5000	0.9092	-0.0003	0.9095
9.6000	0.8998	-0.0002	0.9000
9.7000	0.8905	-0.0002	0.8907
9.8000	0.8815	-0.0001	0.8816
9.9000	0.8726	-0.0001	0.8727
10.0000	0.8639	-0.0001	0.8640
