# State 3   Energy = 8.0609 eV
#   x(Å)    psi    prob=psi^2
-5 0 0
-4.9 -0.0453193 0.00205384
-4.8 -0.0903938 0.00817103
-4.7 -0.134922 0.018204
-4.6 -0.178552 0.0318808
-4.5 -0.220883 0.0487893
-4.4 -0.261476 0.0683696
-4.3 -0.299858 0.0899148
-4.2 -0.335534 0.112583
-4.1 -0.367995 0.13542
-4 -0.396729 0.157394
-3.9 -0.421235 0.177439
-3.8 -0.441032 0.194509
-3.7 -0.455678 0.207642
-3.6 -0.464775 0.216016
-3.5 -0.467992 0.219016
-3.4 -0.465069 0.216289
-3.3 -0.455834 0.207785
-3.2 -0.440212 0.193787
-3.1 -0.418234 0.17492
-3 -0.390045 0.152135
-2.9 -0.355907 0.12667
-2.8 -0.316203 0.0999843
-2.7 -0.271435 0.0736772
-2.6 -0.222224 0.0493833
-2.5 -0.169296 0.0286611
-2.4 -0.11348 0.0128778
-2.3 -0.0556931 0.00310172
-2.2 0.00307935 9.48239e-06
-2.1 0.0617964 0.00381879
-2 0.119385 0.0142527
-1.9 0.174761 0.0305413
-1.8 0.226853 0.0514623
-1.7 0.274628 0.0754206
-1.6 0.317114 0.100561
-1.5 0.353422 0.124907
-1.4 0.382776 0.146517
-1.3 0.404522 0.163638
-1.2 0.418159 0.174857
-1.1 0.423344 0.17922
-1 0.419908 0.176323
-0.9 0.407864 0.166353
-0.8 0.387407 0.150084
-0.7 0.358916 0.128821
-0.6 0.322947 0.104295
-0.5 0.280221 0.078524
-0.4 0.231613 0.0536446
-0.3 0.178129 0.0317298
-0.2 0.120886 0.0146134
-0.1 0.0610891 0.00373188
0 -8.42719e-15 7.10175e-29
0.1 -0.0610891 0.00373188
0.2 -0.120886 0.0146134
0.3 -0.178129 0.0317298
0.4 -0.231613 0.0536446
0.5 -0.280221 0.078524
0.6 -0.322947 0.104295
0.7 -0.358916 0.128821
0.8 -0.387407 0.150084
0.9 -0.407864 0.166353
1 -0.419908 0.176323
1.1 -0.423344 0.17922
1.2 -0.418159 0.174857
1.3 -0.404522 0.163638
1.4 -0.382776 0.146517
1.5 -0.353422 0.124907
1.6 -0.317114 0.100561
1.7 -0.274628 0.0754206
1.8 -0.226853 0.0514623
1.9 -0.174761 0.0305413
2 -0.119385 0.0142527
2.1 -0.0617964 0.00381879
2.2 -0.00307935 9.48239e-06
2.3 0.0556931 0.00310172
2.4 0.11348 0.0128778
2.5 0.169296 0.0286611
2.6 0.222224 0.0493833
2.7 0.271435 0.0736772
2.8 0.316203 0.0999843
2.9 0.355907 0.12667
3 0.390045 0.152135
3.1 0.418234 0.17492
3.2 0.440212 0.193787
3.3 0.455834 0.207785
3.4 0.465069 0.216289
3.5 0.467992 0.219016
3.6 0.464775 0.216016
3.7 0.455678 0.207642
3.8 0.441032 0.194509
3.9 0.421235 0.177439
4 0.396729 0.157394
4.1 0.367995 0.13542
4.2 0.335534 0.112583
4.3 0.299858 0.0899148
4.4 0.261476 0.0683696
4.5 0.220883 0.0487893
4.6 0.178552 0.0318808
4.7 0.134922 0.018204
4.8 0.0903938 0.00817103
4.9 0.0453193 0.00205384
5 0 0
