ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILVER                                                                  

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-03 3.592E-05 
1.500E-03 4.606E-05 
2.000E-03 5.499E-05 
2.500E-03 6.309E-05 
3.000E-03 7.058E-05 
4.000E-03 8.425E-05 
5.000E-03 9.665E-05 
6.000E-03 1.081E-04 
7.000E-03 1.189E-04 
8.000E-03 1.290E-04 
9.000E-03 1.387E-04 
1.000E-02 1.479E-04 
1.250E-02 1.695E-04 
1.500E-02 1.893E-04 
1.750E-02 2.079E-04 
2.000E-02 2.253E-04 
2.250E-02 2.418E-04 
2.500E-02 2.576E-04 
2.750E-02 2.727E-04 
3.000E-02 2.872E-04 
3.500E-02 3.147E-04 
4.000E-02 3.406E-04 
4.500E-02 3.650E-04 
5.000E-02 3.883E-04 
5.500E-02 4.105E-04 
6.000E-02 4.318E-04 
6.500E-02 4.523E-04 
7.000E-02 4.722E-04 
7.500E-02 4.914E-04 
8.000E-02 5.100E-04 
8.500E-02 5.281E-04 
9.000E-02 5.457E-04 
9.500E-02 5.629E-04 
1.000E-01 5.797E-04 
1.250E-01 6.583E-04 
1.500E-01 7.302E-04 
1.750E-01 7.968E-04 
2.000E-01 8.594E-04 
2.250E-01 9.187E-04 
2.500E-01 9.752E-04 
2.750E-01 1.030E-03 
3.000E-01 1.082E-03 
3.500E-01 1.182E-03 
4.000E-01 1.277E-03 
4.500E-01 1.368E-03 
5.000E-01 1.456E-03 
5.500E-01 1.542E-03 
6.000E-01 1.626E-03 
6.500E-01 1.709E-03 
7.000E-01 1.790E-03 
7.500E-01 1.871E-03 
8.000E-01 1.952E-03 
8.500E-01 2.032E-03 
9.000E-01 2.112E-03 
9.500E-01 2.192E-03 
1.000E+00 2.272E-03 
1.250E+00 2.678E-03 
1.500E+00 3.100E-03 
1.750E+00 3.542E-03 
2.000E+00 4.007E-03 
2.250E+00 4.497E-03 
2.500E+00 5.011E-03 
2.750E+00 5.550E-03 
3.000E+00 6.112E-03 
3.500E+00 7.307E-03 
4.000E+00 8.591E-03 
4.500E+00 9.963E-03 
5.000E+00 1.142E-02 
5.500E+00 1.296E-02 
6.000E+00 1.457E-02 
6.500E+00 1.626E-02 
7.000E+00 1.803E-02 
7.500E+00 1.987E-02 
8.000E+00 2.178E-02 
8.500E+00 2.377E-02 
9.000E+00 2.582E-02 
9.500E+00 2.794E-02 
1.000E+01 3.012E-02 
1.250E+01 4.203E-02 
1.500E+01 5.547E-02 
1.750E+01 7.039E-02 
2.000E+01 8.673E-02 
2.500E+01 1.235E-01 
2.750E+01 1.438E-01 
3.000E+01 1.655E-01 
3.500E+01 2.125E-01 
4.000E+01 2.644E-01 
4.500E+01 3.210E-01 
5.000E+01 3.822E-01 
5.500E+01 4.479E-01 
6.000E+01 5.181E-01 
6.500E+01 5.926E-01 
7.000E+01 6.713E-01 
7.500E+01 7.543E-01 
8.000E+01 8.413E-01 
8.500E+01 9.325E-01 
9.000E+01 1.028E+00 
9.500E+01 1.127E+00 
1.000E+02 1.230E+00 
1.250E+02 1.803E+00 
1.500E+02 2.468E+00 
1.750E+02 3.220E+00 
2.000E+02 4.057E+00 
2.250E+02 4.974E+00 
2.500E+02 5.970E+00 
2.750E+02 7.041E+00 
3.000E+02 8.184E+00 
3.500E+02 1.068E+01 
4.000E+02 1.345E+01 
4.500E+02 1.647E+01 
5.000E+02 1.973E+01 
5.500E+02 2.322E+01 
6.000E+02 2.693E+01 
6.500E+02 3.085E+01 
7.000E+02 3.497E+01 
7.500E+02 3.929E+01 
8.000E+02 4.378E+01 
8.500E+02 4.846E+01 
9.000E+02 5.330E+01 
9.500E+02 5.830E+01 
1.000E+03 6.346E+01 
