canal,cuentas
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,20
58,279
59,490
60,552
61,518
62,508
63,529
64,514
65,558
66,585
67,546
68,542
69,598
70,620
71,700
72,699
73,793
74,914
75,1028
76,1185
77,1272
78,1541
79,1714
80,1975
81,2254
82,2530
83,2844
84,3257
85,3644
86,3895
87,4207
88,4622
89,4758
90,4894
91,5047
92,5073
93,5017
94,4832
95,4805
96,4636
97,4311
98,4010
99,3932
100,3609
101,3345
102,3127
103,2847
104,2738
105,2489
106,2366
107,2202
108,2009
109,1945
110,1765
111,1649
112,1544
113,1440
114,1296
115,1226
116,1152
117,1099
118,1039
119,982
120,904
121,853
122,904
123,831
124,760
125,822
126,725
127,693
128,665
129,683
130,579
131,694
132,645
133,632
134,672
135,622
136,665
137,588
138,580
139,617
140,605
141,552
142,553
143,530
144,579
145,550
146,574
147,550
148,502
149,542
150,556
151,538
152,570
153,529
154,537
155,523
156,479
157,532
158,557
159,567
160,580
161,518
162,558
163,585
164,551
165,555
166,594
167,517
168,569
169,536
170,558
171,545
172,515
173,533
174,562
175,558
176,540
177,532
178,510
179,558
180,553
181,528
182,518
183,557
184,568
185,537
186,586
187,531
188,558
189,544
190,579
191,565
192,523
193,531
194,508
195,526
196,540
197,534
198,552
199,565
200,559
201,548
202,544
203,548
204,545
205,520
206,535
207,519
208,541
209,531
210,563
211,548
212,571
213,553
214,546
215,462
216,539
217,553
218,545
219,536
220,518
221,608
222,520
223,536
224,518
225,531
226,536
227,541
228,545
229,519
230,530
231,563
232,502
233,497
234,556
235,521
236,487
237,514
238,553
239,527
240,544
241,554
242,554
243,551
244,516
245,522
246,579
247,527
248,515
249,522
250,511
251,513
252,507
253,539
254,543
255,555
256,565
257,550
258,546
259,503
260,503
261,553
262,509
263,532
264,548
265,500
266,537
267,524
268,503
