canal,I_gamma
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,5239
44,5526
45,5324
46,5302
47,5384
48,5148
49,5133
50,5063
51,4988
52,5005
53,4895
54,4727
55,4648
56,4649
57,4543
58,4351
59,4425
60,4266
61,4286
62,4258
63,4304
64,4170
65,4159
66,4117
67,4037
68,3875
69,4044
70,3919
71,3823
72,3889
73,3822
74,3775
75,3699
76,3802
77,3708
78,3729
79,3602
80,3753
81,3567
82,3639
83,3458
84,3619
85,3681
86,3523
87,3396
88,3569
89,3500
90,3384
91,3310
92,3507
93,3360
94,3363
95,3446
96,3547
97,3458
98,3550
99,3535
100,3417
101,3461
102,3381
103,3349
104,3370
105,3472
106,3431
107,3288
108,3425
109,3555
110,3635
111,3866
112,3900
113,3823
114,3839
115,3579
116,3557
117,3539
118,3493
119,3628
120,3632
121,3603
122,3678
123,3642
124,3714
125,3876
126,3905
127,4087
128,4014
129,4278
130,4548
131,5027
132,5295
133,5473
134,5262
135,5030
136,4889
137,4672
138,4657
139,4435
140,4662
141,4658
142,4854
143,4642
144,4593
145,4724
146,4707
147,4855
148,4788
149,4849
150,4890
151,4954
152,5177
153,5579
154,6345
155,7793
156,8748
157,9084
158,9366
159,10321
160,11787
161,12372
162,11624
163,10110
164,8723
165,7326
166,6201
167,5625
168,5192
169,5248
170,5097
171,4903
172,5058
173,5102
174,5508
175,5766
176,5744
177,5457
178,5536
179,5564
180,6170
181,6804
182,7415
183,7246
184,6736
185,6295
186,6235
187,6200
188,6055
189,5792
190,5960
191,6983
192,8221
193,9057
194,8952
195,8332
196,7255
197,6312
198,5511
199,4814
200,4426
201,4163
202,4122
203,4108
204,4205
205,4263
206,4310
207,4132
208,4218
209,3946
210,3903
211,3923
212,3903
213,3916
214,3927
215,3915
216,4044
217,3922
218,3971
219,3906
220,4025
221,3963
222,3954
223,3979
224,4041
225,4139
226,4090
227,4201
228,4068
229,4204
230,4258
231,4326
232,4233
233,4418
234,4452
235,4553
236,4570
237,4342
238,4276
239,4160
240,4144
241,4093
242,4080
243,4096
244,4120
245,4138
246,4075
247,4017
248,4056
249,4061
250,4125
251,3989
252,4059
253,4163
254,4116
255,4109
256,4130
257,4155
258,4155
259,4102
260,4069
261,4143
262,4196
263,4163
264,4266
265,4073
266,4163
267,4185
268,4317
269,4260
270,4290
271,4356
272,4253
273,4284
274,4261
275,4335
276,4254
277,4134
278,4210
279,4212
280,4204
281,4212
282,4266
283,4197
284,4326
285,4273
286,4336
287,4331
288,4314
289,4495
290,4609
291,4781
292,4897
293,4777
294,4740
295,4607
296,4554
297,4651
298,4846
299,5295
300,5173
301,5178
302,5169
303,4737
304,4660
305,4411
306,4517
307,4494
308,4369
309,4269
310,4425
311,4392
312,4542
313,4486
314,4501
315,4508
316,4450
317,4408
318,4470
319,4557
320,4792
321,4856
322,4798
323,4716
324,4621
325,4591
326,4497
327,4415
328,4343
329,4339
330,4354
331,4494
332,4482
333,4433
334,4321
335,4339
336,4290
337,4247
338,4264
339,4453
340,4321
341,4504
342,4274
343,4252
344,4165
345,4042
346,3952
347,3908
348,3867
349,3901
350,3881
351,3773
352,3956
353,3771
354,4015
355,3869
356,3813
357,3930
358,3801
359,3839
360,3782
361,3814
362,3892
363,3820
364,4031
365,3935
366,3890
367,3839
368,3875
369,3787
370,3874
371,3683
372,3771
373,3739
374,3757
375,3815
376,3911
377,3835
378,3849
379,3848
380,3854
381,3965
382,3898
383,4321
384,5174
385,7203
386,9354
387,11147
388,11169
389,9904
390,8258
391,6604
392,5096
393,4240
394,3843
395,3653
396,3674
397,3644
398,3555
399,3677
400,3599
401,3532
402,3424
403,3559
404,3495
405,3591
406,3562
407,3627
408,3602
409,3591
410,3626
411,3784
412,3790
413,3924
414,3893
415,3807
416,3667
417,3579
418,3538
419,3449
420,3491
421,3399
422,3353
423,3424
424,3453
425,3434
426,3522
427,3532
428,3393
429,3431
430,3303
431,3203
432,3163
433,3215
